Rat_ID,Cartilage_Mankin,Cartilage_MT,Cartilage_medT,Cartilage_MTT,Cartilage_MF,Cartilage_LT,Cartilage_LatT,Cartilage_LTT,Cartilage_LF,Bone_OARSI,Bone_MT,Bone_MF,Bone_LT,Bone_LF,Syn_mem,Men_Damg,Rat_total
JR_9,21,2,6,8,0,7,0,7,6,0,0,0,0,0,1,1,23
JR 27,28,18,0,18,0,10,0,10,0,12,11,0,1,0,4,4,48
JR_30,48,17,0,17,18,9,0,9,4,10,2,6,1,1,3,1,62
JR 31,53,18,0,18,15,8,6,14,0,9,8,1,0,0,3,3,68
JR 34,25,5,5,10,9,6,0,6,0,2,1,1,0,0,2,1,30
JR_35,47,4,7,11,16,9,0,9,11,4,0,2,1,1,3,2,56
JR_36,43,4,5,9,16,8,0,8,10,5,0,3,1,1,3,2,53
JR_37,32,4,8,12,14,6,0,6,0,3,0,3,0,0,3,2,40
JR_42,27,8,6,14,0,8,5,13,0,3,2,0,1,0,1,1,32
JR_43,52,2,10,12,18,8,0,8,14,3,0,1,1,1,2,0,57
JR_49,19,2,6,8,0,11,0,11,0,0,0,0,0,0,2,0,21
JR_50,27,6,6,12,0,7,0,7,8,0,0,0,0,0,1,1,23
JR_4,38,0,6,6,11,9,0,9,12,4,0,0,4,0,2,3,47
JR_8,23,10,7,17,4,2,0,2,0,1,0,0,1,0,1,0,25
JR_10,33,12,8,20,0,0,4,4,9,3,2,0,0,1,2,1,39
JR_12,12,0,0,0,0,0,4,4,8,0,0,0,0,0,2,0,14
JR_16,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
JR_20,28,0,6,6,9,13,0,13,0,1,0,0,1,0,1,0,30
JR_24,16,0,6,6,0,6,4,10,0,0,0,0,0,0,0,0,16
JR_28,53,32,0,32,0,7,7,14,7,11,9,0,2,0,1,3,68
JR_29,43,22,9,31,0,10,2,12,0,9,9,0,0,0,2,2,56
JR_32,48,11,9,20,20,8,0,8,0,11,0,10,1,0,2,3,64
JR_33,35,12,9,21,8,0,6,6,0,2,1,0,0,1,2,1,40
JR_38,24,0,0,0,12,0,0,0,12,3,0,1,1,1,0,0,27
