Rat_ID,Group_code,Group,Total_Bac,Roseburia,A.muciniphila,Akk_Ratio,Rose_Ratio,Akk_Roseb
JR_9,5,HFS,39530959.91,29288.04,45489.08414,0.115072045,0.074088855,1.553162686
JR_27,5,HFS,67752503.00,255166.58,515189.7107,0.760399525,0.376615729,2.019032838
JR_30,5,HFS,76194342.41,2541.43,73810.57465,0.096871464,0.003335462,29.04288979
JR_31,5,HFS,86281950.12,98822.35,748393.929,0.867381797,0.114534206,7.573124445
JR_34,5,HFS,96364592.11,59657.73,764080.8507,0.792906226,0.061908351,12.80774269
JR_35,5,HFS,127031470.49,20962.59,620938.686,0.488806973,0.016501885,29.62128032
JR_36,5,HFS,81081418.65,3682.72,501135.4219,0.618064447,0.004542006,136.0774121
JR_37,5,HFS,85688019.74,4009.97,458053.1165,0.534559111,0.004679727,114.2287011
JR_42,5,HFS,62363027.83,19369.31,256248.9946,0.410898899,0.031058965,13.22963912
JR_43,5,HFS,39804961.31,66964.15,35958.74418,0.090337342,0.168230673,0.536984967
JR_49,5,HFS,69171131.83,356507.89,1214343.771,1.755564408,0.515399827,3.406218463
JR_50,5,HFS,69650578.50,182632.66,1014525.884,1.456593622,0.262212697,5.555007963
JR_4,7,HFS+F,59010381.88,860971.38,2441.348459,0.004137151,1.459016794,0.002835574
JR_8,7,HFS+F,36638615.55,323456.56,359592.1029,0.98145658,0.882829634,1.11171685
JR_10,7,HFS+F,130590236.74,1375093.44,24413.80105,0.018694967,1.052983341,0.017754285
JR_12,7,HFS+F,48970279.70,369755.04,2580.203328,0.005268917,0.755060087,0.006978142
JR_16,7,HFS+F,74117940.21,468712.20,156836.722,0.211604264,0.632386974,0.33461199
JR_20,7,HFS+F,136116190.17,1210249.45,801974.307,0.589183628,0.889129681,0.662652074
JR_24,7,HFS+F,125288622.25,1479183.67,3473.631841,0.002772504,1.180620911,0.002348344
JR_28,7,HFS+F,41489316.65,136401.41,1057.461009,0.002548755,0.328762734,0.007752566
JR_29,7,HFS+F,25231750.04,352198.50,2068.032187,0.00819615,1.395854426,0.00587178
JR_32,7,HFS+F,76722469.14,643026.89,7587.960067,0.009890141,0.838120695,0.011800377
JR_33,7,HFS+F,148904486.14,2156518.70,4774.44289,0.003206379,1.448256369,0.002213958
JR_38,7,HFS+F,118553086.70,920529.66,4072.426407,0.003435108,0.776470429,0.004424003
