"","Category","Sample_ID","Time_point","Type","Rat_ID","Group","Group_code","G.CSF","Eotaxin","IL.1a","Leptin","MIP.1a","IL.4","IL.1B","IL.2","IL.6","EGF","IL.13","IL.10","IL.12p70","IL.5","IL.17A","IL.18","MCP.1","IP.10","VEGF","Fractalkine","LIX","TNFa","RANTES"
"1","HFS_Pre","9","Pre","Serum","JR_9","HFS",5,51.45,4.8,83.77,11569.72,9.68,2.15,44,58.8,NA,56.82,4.39,45.02,157.04,39.58,9.15,313.83,554.88,199,40.83,44.57,2386.08,7.72,765.33
"2","HFS_Pre","27","Pre","Serum","JR_27","HFS",5,32.3,5.5,12.21,7084.25,8.8,2.46,234.9,50.69,NA,35.85,NA,149.21,130.52,34.19,9.33,228.79,252.45,258.34,22.3,47.44,1341.78,4.68,528.11
"3","HFS_Pre","30","Pre","Serum","JR_30","HFS",5,45.3,7.4,75.17,8340.69,9.28,5.29,183.39,74.62,371.72,124.76,7.34,140.53,214.77,53.73,10.92,282.17,618.55,235.05,30.8,46.52,1573.09,14.94,479.84
"4","HFS_Pre","31","Pre","Serum","JR_31","HFS",5,35.82,6.72,87.13,11273.92,14.9,6.73,33.36,63.83,230.09,78.17,15.77,37.2,236.62,48.6,14.16,256.84,710.07,245.52,22.13,42.27,2223.52,12.45,1322.09
"5","HFS_Pre","34","Pre","Serum","JR_34","HFS",5,39.59,4.52,35.03,5844.71,18.43,2.62,83.57,46.97,57.57,97.7,2.91,80.52,185.8,44.96,3.61,234.22,690.39,243.88,18.81,46.41,1940.49,15.63,1338.27
"6","HFS_Pre","35","Pre","Serum","JR_35","HFS",5,56.13,8.34,116.36,4343.63,15.67,8.32,73.1,51.31,198.69,125.55,13.77,72.35,182.65,42.57,23.6,305.69,991.03,246.18,26.19,44.34,2535.97,15.63,3758.78
"7","HFS_Pre","36","Pre","Serum","JR_36","HFS",5,49.03,4.98,58.7,3272.51,20.38,3.1,70.37,40.81,41.89,40.33,5.37,71.42,158.68,44.01,11.84,217.93,685.95,225.4,16.69,36.76,2277.14,8.14,2739.27
"8","HFS_Pre","37","Pre","Serum","JR_37","HFS",5,36.78,5.66,65.28,6091.47,14.16,5.73,264.69,45.12,NA,30.99,6.36,165.03,188.96,44.01,11.47,256.84,568.11,309.94,28.02,42.05,2372.31,10.75,1629.46
"9","HFS_Pre","42","Pre","Serum","JR_42","HFS",5,15.53,3.09,NA,3048.56,5.21,0.6,47.24,37.75,NA,42.63,0.69,34.53,145.18,31.86,5.59,101.87,334.11,168.99,7.96,23.12,979.07,8.14,293.27
"10","HFS_Pre","43","Pre","Serum","JR_43","HFS",5,33.33,2.52,30.58,4176.11,7.78,NA,40.61,32.25,NA,50.52,1.92,45.8,182.65,38.8,8.98,168.91,477.98,164.55,7.74,21.75,2432.39,9.97,451.16
