Sample_ID,Time_point,Type,Rat_ID,Group,Group_code,G-CSF (13),Eotaxin (14),GM-CSF (18),IL-1a (19),Leptin (22),MIP-1a (33),IL-4 (34),IL-1B (35),IL-2 (36),IL-6 (37),EGF (38),IL-13 (39),IL-10 (51),IL-12(p70) (52),IFNy (53),IL-5 (55),IL-17A (56),IL-18 (57),MCP-1 (62),IP-10 (65),GRO/KC (72),VEGF (73),Fractalkine (74),LIX (75),MIP-2 (76),TNFa (77),RANTES (78)
54,Post,Synovial,JR_54,CHO,1,1.35,2.6,OOR,205.91,1650.18,2.3,1.51,10.05,OOR,OOR <,27.51,2.52,2.04,OOR <,116.41,8.99,OOR <,4446.66,33.27,31.64,OOR <,14.12,47.17,OOR <,OOR <,0.4,8.21
66,Post,Synovial,JR_66,CHO,1,OOR,1.9,OOR,33.19,2074.01,OOR <,1.51,15.92,2.81,OOR,12.14,2.91,3.49,OOR <,109.85,6.35,OOR <,4114.26,114.84,1.67,OOR <,18.42,63.9,5.2,OOR <,0.33,6.88
73,Post,Synovial,JR_73,CHO,1,0.85,3.17,OOR,15.95,905.17,1.02,0.93,28.19,OOR,0.82,33.77,9.61,0.17,OOR <,116.41,7.74,OOR <,5461.33,51.68,25.38,OOR <,32.36,31.45,3.36,OOR <,0.04,8.74
74,Post,Synovial,JR_74,CHO,1,OOR,4.11,OOR,10.12,1811.83,1.51,1.8,37.03,10.33,18.31,0.91,4.1,OOR,OOR <,OOR,8.99,OOR <,6526.13,OOR <,23.78,OOR <,80.06,9.86,OOR <,OOR <,0.04,8.85
75,Post,Synovial,JR_75,CHO,1,OOR,1.9,OOR,10.12,594.52,OOR <,OOR,19.66,OOR,0.82,28.14,4.1,OOR,OOR <,OOR,OOR <,OOR <,5380.59,1.45,4.09,OOR <,13.65,19.05,23.96,OOR <,OOR <,20.01
76,Post,Synovial,JR_76,CHO,1,OOR,4.11,OOR,0.6,2355.9,OOR <,OOR,22.23,0.93,OOR,0.89,4.49,OOR,OOR <,116.41,7.74,OOR <,5815.69,33.27,5.68,OOR <,8.37,30.36,17.22,OOR <,OOR <,28.68
77,Post,Synovial,JR_77,CHO,1,OOR,0.83,OOR,1.82,602.38,OOR <,1.22,15.92,OOR,OOR,5.29,4.49,OOR,OOR <,OOR,2.66,OOR <,4286.58,92.65,1.74,OOR <,3.28,24.32,OOR <,OOR <,0.04,13.01
78,Post,Synovial,JR_78,CHO,1,OOR,2.27,OOR,48.83,749.25,OOR <,0.93,11.18,OOR,OOR,6,0.94,OOR,OOR <,OOR <,OOR <,OOR <,5088.81,OOR <,10.97,OOR <,8.93,9.86,OOR <,OOR <,OOR <,6.09
51,Post,Synovial,JR_51,CHO+E,2,1.1,0.83,OOR,203.26,476.28,OOR <,2.67,23.53,1.87,53.85,128.84,2.13,1.01,OOR <,137.75,8.99,0.61,4695.39,33.27,3.75,OOR <,34.26,56.96,12.21,OOR <,OOR <,12.63
52,Post,Synovial,JR_52,CHO+E,2,1.1,3.17,OOR,46.46,226.33,OOR <,2.97,14.71,OOR,0.82,27.18,2.52,OOR,OOR <,14.65,OOR <,0.61,4703.69,OOR <,3.61,OOR <,3.12,24.32,OOR <,OOR <,OOR <,3.5
53,Post,Synovial,JR_53,CHO+E,2,OOR,0.83,OOR,167.54,571.26,1.36,0.93,19.66,2.81,OOR,178.45,0.94,OOR,OOR <,119.43,OOR <,OOR <,5676.02,66.9,10.91,51.98,27.04,34.07,13.13,OOR <,0.19,9.16
63,Post,Synovial,JR_63,CHO+E,2,OOR,1.9,OOR,OOR,277.78,OOR <,0.93,17.15,0.93,0.82,35.35,2.52,1.42,OOR <,20.5,13.19,OOR <,5790.54,OOR <,5.29,OOR <,28.95,32.11,OOR <,OOR <,0.04,9.7
64,Post,Synovial,JR_64,CHO+E,2,OOR,3.17,OOR,70.45,462.5,OOR <,2.67,20.93,OOR,OOR,2.29,4.1,1.01,OOR <,5.04,2.66,OOR <,5485,92.65,12.48,OOR <,6.66,25.17,5.97,OOR <,OOR <,10.22
65,Post,Synovial,JR_65,CHO+E,2,OOR,OOR <,OOR,74.11,624.93,OOR <,2.09,16.53,OOR,OOR,39.94,OOR,OOR,OOR <,OOR <,2.66,OOR <,5030.55,OOR <,6.82,OOR <,9.83,40.57,11.25,OOR <,OOR <,19.56
83,Post,Synovial,JR_83,CHO+E,2,OOR,1.9,OOR,5.5,844.56,OOR <,OOR,12.34,OOR,OOR,41.91,1.73,OOR,OOR <,OOR <,OOR <,OOR <,4633.17,OOR <,28.68,OOR <,6.88,18.22,OOR <,OOR <,OOR <,7.75
84,Post,Synovial,JR_84,CHO+E,2,OOR,0.83,OOR,23.82,227.17,OOR <,0.93,2.97,OOR,OOR <,5.26,OOR,OOR,OOR <,OOR <,2.66,OOR <,2855.44,1.45,7.81,OOR <,3.61,13.76,OOR <,OOR <,OOR <,3.39
85,Post,Synovial,JR_85,CHO+E,2,OOR,1.9,OOR,14.14,460.22,OOR <,0.36,16.53,2.81,OOR,41.47,7.25,OOR,OOR <,OOR <,6.35,OOR <,4192.82,66.9,9.26,OOR <,10.48,8.34,OOR <,OOR <,OOR <,5.99
55,Post,Synovial,JR_55,CHO+E+F,4,2.35,OOR <,OOR,35.68,686.6,OOR <,1.51,32.94,OOR,OOR,0.23,0.15,1.62,OOR <,214.03,6.35,3.31,6834.33,33.27,6.88,OOR <,14.36,48.65,39.03,OOR <,0.04,33.78
56,Post,Synovial,JR_56,CHO+E+F,4,0.85,0.83,OOR,44.69,451.17,2.1,2.09,21.58,OOR,OOR,1.51,3.31,OOR,OOR <,22.45,2.66,OOR <,5873.03,80.36,19.45,63.51,7.48,60.85,5.97,OOR <,0.19,19.88
59,Post,Synovial,JR_59,CHO+E+F,4,OOR,OOR <,OOR,36.3,908.12,OOR <,OOR,8.93,3.75,OOR,0.92,3.31,OOR,OOR <,109.85,OOR <,OOR <,4380.4,66.9,14.24,60.83,7,38.2,OOR <,OOR <,0.04,10.23
60,Post,Synovial,JR_60,CHO+E+F,4,0.6,OOR <,OOR,OOR,116.82,OOR <,0.36,OOR,OOR,9.6,0.17,0.15,OOR,OOR <,1.83,6.35,0.15,1134.58,OOR <,2.98,41.7,5.02,13.96,OOR <,OOR <,OOR <,3.04
61,Post,Synovial,JR_61,CHO+E+F,4,OOR,2.6,OOR,28.66,457.95,OOR <,1.51,7.82,OOR,63.31,8.5,2.52,OOR,OOR <,OOR <,OOR <,0.3,3983.41,51.68,4.16,OOR <,0.2,22.4,OOR <,OOR <,0.19,2.42
79,Post,Synovial,JR_79,CHO+E+F,4,OOR,OOR <,OOR,22.36,467.07,1.36,0.93,15.92,0.93,OOR,5.01,0.55,OOR,OOR <,OOR <,6.35,OOR <,6434.49,66.9,21.32,OOR <,7.12,19.88,22.08,OOR <,0.04,25.34
80,Post,Synovial,JR_80,CHO+E+F,4,OOR,OOR <,OOR,14.14,874.15,OOR <,0.36,28.19,OOR,0.82,2.94,1.73,OOR,OOR <,OOR <,OOR <,OOR <,5726.27,114.84,22.42,OOR <,54.31,23.04,OOR <,OOR <,OOR <,20
81,Post,Synovial,JR_81,CHO+E+F,4,OOR,OOR <,OOR,OOR,1082.42,OOR <,OOR,20.93,OOR,18.31,1.82,1.73,OOR,OOR <,OOR,8.99,OOR <,5972.4,OOR <,12.54,OOR <,10.82,18.22,OOR <,OOR <,OOR <,8.74
82,Post,Synovial,JR_82,CHO+E+F,4,OOR,1.45,OOR,OOR,750.7,OOR <,2.09,14.71,OOR,0.82,0.28,2.52,OOR,OOR <,OOR,8.99,OOR <,4373.5,104.08,18.16,OOR <,29.37,28.84,OOR <,OOR <,OOR <,12.38
86,Post,Synovial,JR_86,CHO+E+F,4,OOR,3.66,OOR,10.12,571.26,1.76,3.89,18.39,4.69,0.82,85.73,6.46,0.17,OOR <,OOR <,6.35,OOR <,4756.26,104.08,13.11,OOR <,35.19,6.12,OOR <,OOR <,0.19,7.5
58,Post,Synovial,JR_58,CHO+F,3,0.85,4.11,OOR,72.89,1636.41,1.88,0.93,28.87,10.33,27.02,20.5,6.46,1.01,OOR <,14.65,2.66,0.15,6261.41,66.9,4.83,OOR <,18.98,61.87,OOR <,OOR <,OOR <,13.91
62,Post,Synovial,JR_62,CHO+F,3,OOR,2.6,OOR,27.99,1923.08,OOR <,0.93,19.66,OOR,18.31,46.45,4.88,OOR,OOR <,19.63,8.99,OOR <,4955.68,OOR <,11.32,OOR <,9.22,24.96,OOR <,OOR <,OOR <,6.09
67,Post,Synovial,JR_67,CHO+F,3,OOR,2.27,OOR,9.57,1579.75,OOR <,0.93,15.92,OOR,OOR,0.18,4.49,OOR,OOR <,2.29,OOR <,OOR <,5230.43,66.9,8.96,OOR <,9.91,46.54,14.22,OOR <,0.08,16.77
68,Post,Synovial,JR_68,CHO+F,3,0.09,4.52,OOR,17.66,1029.98,OOR <,1.51,21.58,OOR,0.82,0.33,5.28,OOR,OOR <,14.05,2.66,0.61,4413.53,1.45,4.02,OOR <,3.95,49.07,OOR <,OOR <,OOR <,3.01
69,Post,Synovial,JR_69,CHO+F,3,OOR,0.83,OOR,11.18,1683.84,1.64,0.36,30.22,OOR,0.82,2.99,4.1,OOR,OOR <,6.42,OOR <,OOR <,7332.24,134.81,3.61,OOR <,77.2,50.74,OOR <,OOR <,0.04,11.53
