Sample_ID,PUL0253,PUL0366,PUL0392,PUL0585,PUL0638,PUL0639,PUL0649,PUL0651,PUL0019,PUL0196,PUL0371,PUL0518,PUL0189,PUL0323,PUL0633,PUL0179,PUL0619
Prebiotic_M0_OA01,457877.8743,166493.3484,22272.36217,2810.123549,652326.6908,208792.3158,25591.57795,347061.6623,5106.185771,39857.70339,11303.34588,245836.8209,6983.085801,82278.55363,25108.38522,0,0
Prebiotic_M3_OA01,515755.3614,158918.5335,21496.18181,632.9891335,471890.5957,319913.9385,6772.998605,264173.5722,0,65291.21731,6025.340453,34234.44486,4614.18381,23822.71367,30379.39669,0,0
Prebiotic_M6_OA01,429469.6302,172769.0354,10359.73635,3096.676877,592224.3419,281358.6027,14079.32157,64875.60133,10550.61982,51728.96048,6803.781532,194163.461,4395.282802,37000.87993,17574.07996,0,0
Prebiotic_M0_OA04,1409690.242,605604.1151,19112.34871,76872.74755,482295.5629,255237.6437,5841.055176,33684.65284,173701.2652,20774.66432,10790.11656,26395.25789,1013.837306,8045.749127,1313.234477,5808.969331,5808.969331
Prebiotic_M3_OA04,1939697.32,620961.0539,49867.23612,16916.92547,269592.3665,196844.3192,3887.352443,11249.90403,139687.082,19169.55916,4426.738214,88524.35664,8102.455306,5637.580845,976.8478614,10691.56311,10691.56311
Prebiotic_M6_OA04,405217.2573,228384.9472,213902.9248,15429.41129,170910.1374,40320.59273,16564.23097,32197.35888,122038.9289,127613.0089,7413.960381,54571.97603,25010.76206,7413.960381,33601.26743,997.7062373,997.7062373
Placebo_M0_OA05,2001185.126,973384.0254,17013.55343,181135.544,200704.5641,179924.5331,19273.23796,62299.06688,1828014.344,41556.19852,8199.313891,23702.08569,5179.861747,4385.69588,847.7398415,14339.14217,14339.14217
Placebo_M3_OA05,1542360.891,111816.9873,39628.57266,328784.7441,125540.0381,124303.367,1769.047709,297623.5889,970649.7506,2822.272135,10123.73655,32883.69785,2970.145991,6115.096876,12512.19894,24353.84582,24353.84582
Placebo_M6_OA05,2453877.382,1027903.662,18311.9354,87174.57215,146624.5203,162204.8425,3100.450521,857299.1856,847829.0296,3000.027886,11571.28122,9197.934185,1907.30813,7935.01224,5505.891327,31585.47057,31585.47057
Placebo_M0_OA06,743475.3362,226188.0584,100610.3765,20723.91576,282156.0721,174928.3404,9204.160141,25724.49317,105185.9877,2589.200254,3641.154911,72575.58526,73875.74661,3641.154911,0,0,0
Placebo_M3_OA06,790017.9865,180488.4364,82253.76482,6613.241977,219742.3582,107941.2841,6744.449361,25986.60578,109136.0325,2404.194831,9358.076973,71908.18003,59544.65269,5544.399333,0,0,0
Placebo_M6_OA06,838365.3791,249364.5359,65415.37166,7162.795029,369221.3344,203391.6741,10324.35899,42356.71066,122340.1633,3611.950041,4507.009784,142166.7903,52656.45294,4507.009784,0,0,0
Prebiotic_M0_OA08,713238.803,63889.32825,131503.2592,50982.2384,295255.6309,178066.9869,4443.505486,94710.67649,49895.65969,453414.9654,66348.11295,327833.9416,24507.71836,66348.11295,7187.071016,164890.2761,46568.03069
Prebiotic_M3_OA08,806300.5596,26606.79495,98535.09046,48795.37149,463542.6269,137454.1678,3987.319337,32056.55419,26346.41897,286006.4762,165188.5115,184391.91,20951.71175,165188.5115,9231.843862,105122.2833,55057.29246
Prebiotic_M6_OA08,719626.4119,30836.46897,113992.0111,38241.33882,327155.3472,73612.5449,4051.843898,20791.53933,47432.00998,300733.3856,181185.5178,262003.3741,18090.0092,181736.7595,11307.60627,159046.5084,61618.86554
Placebo_M0_OA09,201513.1173,95471.95982,12349.50548,18192.49901,475184.9013,244092.5384,5271.929487,1672.171455,136436.5694,192431.8517,4603.084909,102893.7034,4068.597382,4603.084909,0,13291.93829,13291.93829
Placebo_M3_OA09,246231.5884,90694.73062,27664.78595,38257.06007,480362.2703,273199.0102,10161.69424,5667.006935,293458.7942,200319.6269,3574.80469,38802.89543,6503.751454,3574.80469,0,8848.808258,8848.808258
Placebo_M6_OA09,281772.8315,90538.66138,23269.76022,59812.31724,611057.5812,356370.4571,3670.111474,40276.689,437245.0755,292371.5396,6387.432195,46347.69283,12835.67649,2578.597775,0,10352.3685,10352.3685
Placebo_M0_OA10,1085461.008,61753.02699,431639.1264,69723.76172,265145.5296,120682.033,45916.13648,67227.92768,403717.7913,239.8242893,346578.812,288719.5284,2668.428673,10470.49585,1192.331496,2450.772409,844.3217482
Placebo_M3_OA10,1202294.195,95860.4561,585490.001,27175.08014,246660.6291,151805.1857,28173.05614,211204.6874,406092.0122,0,265386.0325,592149.4367,21386.573,0,0,0,0
Placebo_M6_OA10,1154513.848,181097.5561,189596.1407,105936.1667,767649.6384,711811.238,105964.7363,220481.2518,812223.0865,94875.16424,213210.2089,100544.261,1818.258326,0,0,0,0
Prebiotic_M0_OA12,3321581.422,26826.33301,13657.03095,3627.992572,1087335.355,54326.1986,6627.273867,500533.8389,10741.15169,326997.3788,17292.63009,18396.98403,68360.99403,18698.91152,5206.617476,47240.48549,40958.28184
