name,type,annotation_Phylum,annotation_Genus
GM_CSF,cytokine,GM-CSF,GM-CSF
IL_10,cytokine,IL-10,IL-10
IL_12p4,cytokine,IL-12p40,IL-12p40
IL_13,cytokine,IL-13,IL-13
IL_1b,cytokine,IL-1b,IL-1b
IL_1RA,cytokine,IL-1RA,IL-1RA
IL_4,cytokine,IL-4,IL-4
IL_5,cytokine,IL-5,IL-5
s__Actinomyces_sp_ICM47,Microbiome,Actinobacteria,Actinomyces
s__Adlercreutzia_equolifaciens,Microbiome,Actinobacteria,Adlercreutzia
s__Agathobaculum_butyriciproducens,Microbiome,Firmicutes,Agathobaculum
s__Alistipes_senegalensis,Microbiome,Bacteroidota,Alistipes
s__Amedibacterium_intestinale,Microbiome,Firmicutes,Amedibacterium
s__Anaerofilum_hominis,Microbiome,Firmicutes,Anaerofilum
s__Anaeromassilibacillus_senegalensis,Microbiome,Firmicutes,Anaeromassilibacillus
s__Anaerostipes_hadrus,Microbiome,Firmicutes,Anaerostipes
s__bacterium_210917_SL_2_15,Microbiome,Bacteria_unclassified,Bacteria_unclassified
s__Bacteroides_cellulosilyticus,Microbiome,Bacteroidota,Bacteroides
s__Bacteroides_eggerthii,Microbiome,Bacteroidota,Bacteroides
s__Bacteroides_uniformis,Microbiome,Bacteroidota,Bacteroides
s__Bacteroides_xylanisolvens,Microbiome,Bacteroidota,Bacteroides
s__Bianquea_SGB71281,Microbiome,Firmicutes,Bianquea
s__Bifidobacterium_adolescentis,Microbiome,Actinobacteria,Bifidobacterium
s__Bifidobacterium_animalis,Microbiome,Actinobacteria,Bifidobacterium
s__Bifidobacterium_longum,Microbiome,Actinobacteria,Bifidobacterium
s__Bifidobacterium_pseudocatenulatum,Microbiome,Actinobacteria,Bifidobacterium
s__Bittarella_massiliensis,Microbiome,Firmicutes,Bittarella
s__Blautia_argi,Microbiome,Firmicutes,Blautia
s__Blautia_faecicola,Microbiome,Firmicutes,Blautia
s__Blautia_faecis,Microbiome,Firmicutes,Blautia
s__Blautia_obeum,Microbiome,Firmicutes,Blautia
s__Blautia_schinkii,Microbiome,Firmicutes,Blautia
s__Brotolimicola_acetigignens,Microbiome,Firmicutes,Brotolimicola
s__Christensenellaceae_bacterium,Microbiome,Firmicutes,Christensenellaceae_unclassified
s__Clostridiaceae_bacterium,Microbiome,Firmicutes,Clostridiaceae_unclassified
s__Clostridiaceae_bacterium_Marseille_Q4149,Microbiome,Firmicutes,Clostridiaceae_unclassified
s__Clostridiaceae_unclassified_SGB15090,Microbiome,Firmicutes,Clostridiaceae_unclassified
s__Clostridium_hylemonae,Microbiome,Firmicutes,Lachnoclostridium
s__Clostridium_leptum,Microbiome,Firmicutes,Oscillospiraceae_unclassified
s__Clostridium_methylpentosum,Microbiome,Firmicutes,Oscillospiraceae_unclassified
s__Clostridium_scindens,Microbiome,Firmicutes,Lachnoclostridium
s__Clostridium_SGB4750,Microbiome,Firmicutes,Clostridium
s__Clostridium_sp_AF27_2AA,Microbiome,Firmicutes,Clostridium
s__Clostridium_sp_AM22_11AC,Microbiome,Firmicutes,Clostridium
s__Clostridium_sp_AM29_11AC,Microbiome,Firmicutes,Clostridium
s__Clostridium_sp_AM33_3,Microbiome,Firmicutes,Clostridium
s__Clostridium_sp_AM49_4BH,Microbiome,Firmicutes,Clostridium
s__Clostridium_sp_chh4_2,Microbiome,Firmicutes,Clostridium
s__Collinsella_sp_AF08_23,Microbiome,Actinobacteria,Collinsella
s__Coprobacter_fastidiosus,Microbiome,Bacteroidota,Coprobacter
s__Coprococcus_comes,Microbiome,Firmicutes,Coprococcus
s__Coprococcus_eutactus,Microbiome,Firmicutes,Coprococcus
s__Coprococcus_SGB106014,Microbiome,Firmicutes,Coprococcus
s__Coprococcus_SGB4580,Microbiome,Firmicutes,Coprococcus
s__Coprococcus_sp_AF21_14LB,Microbiome,Firmicutes,Coprococcus
s__Cuneatibacter_caecimuris,Microbiome,Firmicutes,Cuneatibacter
s__Desulfovibrio_fairfieldensis,Microbiome,Proteobacteria,Desulfovibrio
s__Diplocloster_agilis,Microbiome,Firmicutes,Diplocloster
s__Dorea_formicigenerans,Microbiome,Firmicutes,Dorea
s__Dorea_phocaeensis,Microbiome,Firmicutes,Dorea
s__Dorea_sp_AF36_15AT,Microbiome,Firmicutes,Dorea
s__Dysosmobacter_sp_Marseille_Q4140,Microbiome,Firmicutes,Dysosmobacter
s__Eggerthella_sp_YY7918,Microbiome,Actinobacteria,Eggerthella
s__Eisenbergiella_massiliensis,Microbiome,Firmicutes,Eisenbergiella
s__Ellagibacter_isourolithinifaciens,Microbiome,Actinobacteria,Ellagibacter
s__Enterocloster_asparagiformis,Microbiome,Firmicutes,Enterocloster
s__Enterocloster_lavalensis,Microbiome,Firmicutes,Enterocloster
s__Enteroscipio_rubneri,Microbiome,Actinobacteria,Enteroscipio
s__Erysipelatoclostridium_SGB66626,Microbiome,Firmicutes,Erysipelatoclostridium
s__Eubacteriales_bacterium,Microbiome,Firmicutes,Eubacteriales_unclassified
s__Eubacterium_rectale,Microbiome,Firmicutes,Lachnospiraceae_unclassified
s__Eubacterium_sp_AF16_48,Microbiome,Firmicutes,Eubacterium
s__Eubacterium_sulci,Microbiome,Firmicutes,Eubacteriales_Family_XIII_Incertae_Sedis_unclassified
s__Eubacterium_ventriosum,Microbiome,Firmicutes,Eubacterium
s__Faecalibacillus_intestinalis,Microbiome,Firmicutes,Faecalibacillus
s__Faecalibacterium_sp_HTFF,Microbiome,Firmicutes,Faecalibacterium
s__Faecalicatena_fissicatena,Microbiome,Firmicutes,Faecalicatena
s__Faecalitalea_cylindroides,Microbiome,Firmicutes,Faecalitalea
s__Flavonifractor_sp_An10,Microbiome,Firmicutes,Flavonifractor
s__Fumia_xinanensis,Microbiome,Firmicutes,Fumia
s__Fusicatenibacter_saccharivorans,Microbiome,Firmicutes,Fusicatenibacter
s__Fusicatenibacter_sp_CLA_AA_H277,Microbiome,Firmicutes,Fusicatenibacter
s__Gemella_sanguinis,Microbiome,Firmicutes,Gemella
s__Gemmiger_formicilis,Microbiome,Firmicutes,Gemmiger
s__GGB1567_SGB2154,Microbiome,Bacteroidota,GGB1567
s__GGB1661_SGB2275,Microbiome,Bacteroidota,GGB1661
