Sample.ID,host glycan,fructan
Li32167_S44_Metabat2_binout.88,0,3
Li32136_S13_Maxbin2out.024,0,2
Li32152_S29_Metabat2_binout.19,0,2
Li32155_S32_Metabat2_binout.39,0,2
Li32128_S5_Maxbin2out.003,0,1
Li32153_S30_Metabat2_binout.7,0,1
Li32157_S34_Maxbin2out.016,0,1
Li32162_S39_Metabat2_binout.50,0,1
Li32164_S41_Metabat2_binout.1,0,1
Li32170_S47_Metabat2_binout.64,0,1
Li32170_S47_Metabat2_binout.99,0,1
Li32172_S49_Metabat2_binout.29,0,1
Li32176_S53_Metabat2_binout.39,0,1
Li32176_S53_Metabat2_binout.70,0,1
Li32177_S54_Metabat2_binout.125,0,1
Li32124_S1_Maxbin2out.042,0,0
Li32126_S3_Maxbin2out.022,0,0
Li32126_S3_Metabat2_binout.83,0,0
Li32127_S4_Maxbin2out.020,0,0
Li32127_S4_Metabat2_binout.126,0,0
Li32127_S4_Metabat2_binout.71,0,0
Li32128_S5_Maxbin2out.015,0,0
Li32129_S6_Metabat2_binout.10,0,0
Li32130_S7_Maxbin2out.011,0,0
Li32130_S7_Maxbin2out.037,0,0
Li32130_S7_Metabat2_binout.55,0,0
Li32131_S8_Maxbin2out.008,0,0
Li32131_S8_Maxbin2out.019,0,0
Li32131_S8_Metabat2_binout.10,0,0
Li32131_S8_Metabat2_binout.125,0,0
Li32131_S8_Metabat2_binout.23,0,0
Li32131_S8_Metabat2_binout.47,0,0
Li32131_S8_Metabat2_binout.53,0,0
Li32131_S8_Metabat2_binout.58,0,0
Li32132_S9_Maxbin2out.006,0,0
Li32132_S9_Maxbin2out.038,0,0
Li32132_S9_Maxbin2out.057,0,0
Li32132_S9_Metabat2_binout.122,0,0
Li32132_S9_Metabat2_binout.19,0,0
Li32132_S9_Metabat2_binout.28,0,0
Li32132_S9_Metabat2_binout.81,0,0
Li32132_S9_Metabat2_binout.84,0,0
Li32133_S10_Maxbin2out.017,0,0
Li32134_S11_Metabat2_binout.38,0,0
Li32134_S11_Metabat2_binout.53,0,0
Li32136_S13_Metabat2_binout.101,0,0
Li32136_S13_Metabat2_binout.105,0,0
Li32136_S13_Metabat2_binout.5,0,0
Li32137_S14_Metabat2_binout.43,0,0
Li32137_S14_Metabat2_binout.61,0,0
Li32139_S16_Metabat2_binout.13,0,0
Li32139_S16_Metabat2_binout.67,0,0
Li32140_S17_Metabat2_binout.103,0,0
Li32141_S18_Metabat2_binout.32,0,0
Li32142_S19_Maxbin2out.014,0,0
Li32142_S19_Maxbin2out.017,0,0
Li32142_S19_Metabat2_binout.11,0,0
Li32142_S19_Metabat2_binout.13,0,0
Li32142_S19_Metabat2_binout.45,0,0
Li32142_S19_Metabat2_binout.46,0,0
Li32142_S19_Metabat2_binout.77,0,0
Li32142_S19_Metabat2_binout.86,0,0
Li32143_S20_Maxbin2out.023,0,0
Li32143_S20_Metabat2_binout.3,0,0
Li32143_S20_Metabat2_binout.48,0,0
Li32143_S20_Metabat2_binout.51,0,0
Li32143_S20_Metabat2_binout.76,0,0
Li32143_S20_Metabat2_binout.83,0,0
Li32144_S21_Maxbin2out.049,0,0
Li32144_S21_Metabat2_binout.104,0,0
Li32144_S21_Metabat2_binout.108,0,0
Li32144_S21_Metabat2_binout.118,0,0
Li32144_S21_Metabat2_binout.22,0,0
Li32144_S21_Metabat2_binout.31,0,0
Li32144_S21_Metabat2_binout.51,0,0
Li32144_S21_Metabat2_binout.75,0,0
Li32144_S21_Metabat2_binout.79,0,0
Li32144_S21_Metabat2_binout.85,0,0
Li32145_S22_Maxbin2out.001,0,0
Li32145_S22_Maxbin2out.010,0,0
Li32145_S22_Maxbin2out.029,0,0
Li32145_S22_Maxbin2out.069,0,0
Li32145_S22_Metabat2_binout.117,0,0
Li32145_S22_Metabat2_binout.121,0,0
Li32145_S22_Metabat2_binout.132,0,0
Li32145_S22_Metabat2_binout.15,0,0
Li32145_S22_Metabat2_binout.154,0,0
Li32145_S22_Metabat2_binout.158,0,0
Li32145_S22_Metabat2_binout.47,0,0
Li32145_S22_Metabat2_binout.50,0,0
Li32145_S22_Metabat2_binout.68,0,0
Li32146_S23_Maxbin2out.027,0,0
Li32146_S23_Maxbin2out.031,0,0
Li32146_S23_Metabat2_binout.71,0,0
Li32147_S24_Metabat2_binout.107,0,0
Li32147_S24_Metabat2_binout.115,0,0
Li32147_S24_Metabat2_binout.132,0,0
Li32147_S24_Metabat2_binout.140,0,0
Li32147_S24_Metabat2_binout.24,0,0
Li32148_S25_Metabat2_binout.102,0,0
Li32148_S25_Metabat2_binout.26,0,0
Li32148_S25_Metabat2_binout.61,0,0
Li32148_S25_Metabat2_binout.76,0,0
Li32149_S26_Maxbin2out.038,0,0
Li32149_S26_Metabat2_binout.26,0,0
Li32149_S26_Metabat2_binout.71,0,0
Li32150_S27_Maxbin2out.023,0,0
Li32150_S27_Metabat2_binout.106,0,0
Li32150_S27_Metabat2_binout.73,0,0
Li32150_S27_Metabat2_binout.95,0,0
Li32151_S28_Maxbin2out.066,0,0
Li32151_S28_Maxbin2out.069,0,0
Li32151_S28_Metabat2_binout.114,0,0
Li32151_S28_Metabat2_binout.120,0,0
Li32151_S28_Metabat2_binout.128,0,0
Li32151_S28_Metabat2_binout.143,0,0
Li32151_S28_Metabat2_binout.154,0,0
Li32151_S28_Metabat2_binout.46,0,0
Li32151_S28_Metabat2_binout.66,0,0
Li32151_S28_Metabat2_binout.74,0,0
Li32152_S29_Maxbin2out.011,0,0
Li32152_S29_Maxbin2out.025,0,0
Li32152_S29_Maxbin2out.032,0,0
Li32152_S29_Metabat2_binout.101,0,0
Li32152_S29_Metabat2_binout.128,0,0
Li32152_S29_Metabat2_binout.38,0,0
Li32153_S30_Maxbin2out.001,0,0
Li32153_S30_Maxbin2out.008,0,0
Li32153_S30_Maxbin2out.019,0,0
Li32153_S30_Maxbin2out.047,0,0
Li32153_S30_Metabat2_binout.36,0,0
Li32153_S30_Metabat2_binout.38,0,0
Li32153_S30_Metabat2_binout.74,0,0
Li32155_S32_Maxbin2out.019,0,0
Li32156_S33_Metabat2_binout.39,0,0
Li32156_S33_Metabat2_binout.6,0,0
Li32157_S34_Maxbin2out.010,0,0
Li32157_S34_Metabat2_binout.34,0,0
Li32158_S35_Maxbin2out.026,0,0
Li32159_S36_Maxbin2out.008,0,0
Li32159_S36_Metabat2_binout.92,0,0
Li32160_S37_Maxbin2out.018,0,0
Li32161_S38_Metabat2_binout.12,0,0
Li32161_S38_Metabat2_binout.47,0,0
Li32161_S38_Metabat2_binout.60,0,0
Li32161_S38_Metabat2_binout.93,0,0
Li32162_S39_Maxbin2out.005,0,0
Li32162_S39_Metabat2_binout.120,0,0
Li32162_S39_Metabat2_binout.36,0,0
