PUL ID,PUL_substrate,Sample ID
PUL0225,galactan,Li32181_S58_Maxbin2out.011
PUL0225,galactan,Li32181_S58_Maxbin2out.011
PUL0225,galactan,Li32181_S58_Maxbin2out.011
PUL0225,galactan,Li32185_S62_Maxbin2out.017
PUL0225,galactan,Li32137_S14_Metabat2_binout.51
PUL0225,galactan,Li32137_S14_Metabat2_binout.51
PUL0225,galactan,Li32137_S14_Metabat2_binout.51
PUL0225,galactan,Li32161_S38_Metabat2_binout.51
PUL0225,galactan,Li32161_S38_Metabat2_binout.51
PUL0225,galactan,Li32146_S23_Maxbin2out.043
PUL0225,galactan,Li32138_S15_Metabat2_binout.21
PUL0225,galactan,Li32160_S37_Metabat2_binout.1
PUL0225,galactan,Li32160_S37_Metabat2_binout.23
PUL0225,galactan,Li32138_S15_Metabat2_binout.85
PUL0225,galactan,Li32195_S72_Metabat2_binout.32
PUL0225,galactan,Li32195_S72_Metabat2_binout.32
PUL0225,galactan,Li32195_S72_Metabat2_binout.32
PUL0225,galactan,Li32185_S62_Maxbin2out.047
PUL0225,galactan,Li32144_S21_Metabat2_binout.105
PUL0225,galactan,Li32191_S68_Metabat2_binout.40
PUL0225,galactan,Li32177_S54_Metabat2_binout.56
PUL0225,galactan,Li32177_S54_Metabat2_binout.56
PUL0225,galactan,Li32177_S54_Metabat2_binout.56
PUL0225,galactan,Li32192_S69_Metabat2_binout.90
PUL0225,galactan,Li32132_S9_Maxbin2out.044
PUL0225,galactan,Li32200_S77_Maxbin2out.010
PUL0225,galactan,Li32151_S28_Maxbin2out.012
PUL0225,galactan,Li32165_S42_Maxbin2out.075
PUL0225,galactan,Li32169_S46_Metabat2_binout.91
PUL0225,galactan,Li32169_S46_Metabat2_binout.91
PUL0225,galactan,Li32169_S46_Metabat2_binout.91
PUL0225,galactan,Li32169_S46_Metabat2_binout.91
PUL0225,galactan,Li32169_S46_Metabat2_binout.91
PUL0225,galactan,Li32142_S19_Maxbin2out.017
PUL0225,galactan,Li32154_S31_Metabat2_binout.97
PUL0225,galactan,Li32154_S31_Metabat2_binout.97
PUL0225,galactan,Li32154_S31_Metabat2_binout.97
PUL0225,galactan,Li32154_S31_Metabat2_binout.97
PUL0225,galactan,Li32153_S30_Metabat2_binout.106
PUL0225,galactan,Li32146_S23_Metabat2_binout.6
PUL0225,galactan,Li32143_S20_Metabat2_binout.76
PUL0225,galactan,Li32144_S21_Metabat2_binout.104
PUL0225,galactan,Li32125_S2_Metabat2_binout.16
PUL0225,galactan,Li32125_S2_Metabat2_binout.16
PUL0225,galactan,Li32125_S2_Metabat2_binout.16
PUL0225,galactan,Li32177_S54_Metabat2_binout.49
PUL0225,galactan,Li32125_S2_Metabat2_binout.60
PUL0225,galactan,Li32144_S21_Metabat2_binout.53
PUL0225,galactan,Li32144_S21_Metabat2_binout.53
PUL0225,galactan,Li32185_S62_Metabat2_binout.13
PUL0607,galactan,Li32191_S68_Metabat2_binout.40
PUL0607,galactan,Li32153_S30_Metabat2_binout.76
PUL0607,galactan,Li32143_S20_Metabat2_binout.92
PUL0607,galactan,Li32153_S30_Metabat2_binout.106
PUL0607,galactan,Li32158_S35_Maxbin2out.029
PUL0651,galactan,Li32143_S20_Metabat2_binout.6
PUL0651,galactan,Li32185_S62_Metabat2_binout.81
PUL0651,galactan,Li32132_S9_Maxbin2out.044
PUL0651,galactan,Li32185_S62_Maxbin2out.038
PUL0651,galactan,Li32143_S20_Metabat2_binout.42
PUL0651,galactan,Li32146_S23_Metabat2_binout.105
PUL0651,galactan,Li32203_S80_Maxbin2out.015
PUL0651,galactan,Li32124_S1_Maxbin2out.042
PUL0652,galactan,Li32157_S34_Maxbin2out.033
PUL0652,galactan,Li32144_S21_Maxbin2out.039
PUL0652,galactan,Li32161_S38_Metabat2_binout.51
PUL0652,galactan,Li32130_S7_Maxbin2out.047
PUL0652,galactan,Li32206_S83_Maxbin2out.004
PUL0652,galactan,Li32143_S20_Metabat2_binout.22
PUL0652,galactan,Li32131_S8_Maxbin2out.005
PUL0652,galactan,Li32197_S74_Metabat2_binout.84
PUL0652,galactan,Li32146_S23_Metabat2_binout.77
PUL0652,galactan,Li32199_S76_Maxbin2out.034
PUL0652,galactan,Li32135_S12_Metabat2_binout.15
PUL0652,galactan,Li32132_S9_Maxbin2out.044
PUL0652,galactan,Li32132_S9_Maxbin2out.044
PUL0652,galactan,Li32151_S28_Metabat2_binout.54
PUL0652,galactan,Li32156_S33_Metabat2_binout.14
PUL0652,galactan,Li32148_S25_Metabat2_binout.102
PUL0652,galactan,Li32144_S21_Metabat2_binout.18
PUL0652,galactan,Li32152_S29_Metabat2_binout.38
PUL0652,galactan,Li32185_S62_Metabat2_binout.103
PUL0652,galactan,Li32148_S25_Maxbin2out.062
PUL0652,galactan,Li32141_S18_Maxbin2out.045
PUL0652,galactan,Li32195_S72_Metabat2_binout.97
PUL0652,galactan,Li32165_S42_Metabat2_binout.30
PUL0652,galactan,Li32185_S62_Maxbin2out.028
PUL0652,galactan,Li32125_S2_Metabat2_binout.16
PUL0652,galactan,Li32188_S65_Metabat2_binout.2
PUL0652,galactan,Li32145_S22_Metabat2_binout.117
PUL0653,galactan,Li32132_S9_Maxbin2out.002
PUL0653,galactan,Li32182_S59_Metabat2_binout.38
PUL0653,galactan,Li32132_S9_Maxbin2out.044
PUL0653,galactan,Li32144_S21_Metabat2_binout.36
