Time,Prebiotic_P01_M0,Prebiotic_P01_M3,Prebiotic_P01_M6,Prebiotic_P04_M0,Prebiotic_P04_M3,Prebiotic_P04_M6,Placebo_P05_M0,Placebo_P05_M3,Placebo_P05_M6,Placebo_P06_M0,Placebo_P06_M3,Placebo_P06_M6,Prebiotic_P08_M0,Prebiotic_P08_M3,Prebiotic_P08_M6,Placebo_P13_M0,Placebo_P13_M3,Placebo_P13_M6,Prebiotic_P19_M0,Prebiotic_P19_M6,Placebo_P25_M0,Placebo_P25_M3,Placebo_P25_M6,Prebiotic_P26_M0,Prebiotic_P26_M3,Prebiotic_P28_M0,Prebiotic_P28_M6,Placebo_P29_M0,Placebo_P29_M3,Placebo_P29_M6,Prebiotic_P30_M0,Prebiotic_P30_M3,Prebiotic_P30_M6,Prebiotic_P35_M0,Prebiotic_P35_M3,Prebiotic_P35_M6,Placebo_P36_M0,Placebo_P36_M3,Placebo_P36_M6,Placebo_P37_M0,Placebo_P37_M3,Placebo_P37_M6,Prebiotic_P39_M0,Prebiotic_P39_M3,Prebiotic_P39_M6,Prebiotic_P40_M0,Prebiotic_P40_M3,Placebo_P42_M0,Placebo_P42_M3,Placebo_P45_M0,Placebo_P45_M3,Prebiotic_P50_M0,Prebiotic_P50_M3
0:42:00,0.126,0.911,0.415,0.228,0.897,0.619,0.293,0.805,0.501,1.088,1.356,0.75,0.25,0.393,0.265,0.366,0.403,0.425,0.618,0.392,0.258,0.322,0.313,0.134,0.292,0.235,0.26,0.333,0.172,0.37,0.728,0.264,0.675,0.185,0.4,0.356,0.553,0.447,0.225,0.248,0.227,0.496,0.216,0.344,0.297,0.508,0.145,0.353,0.364,0.297,0.571,0.774,0.596
0:44:00,0.137,0.975,0.438,0.246,0.945,0.653,0.304,0.848,0.527,1.147,1.429,0.786,0.289,0.451,0.278,0.381,0.422,0.472,0.649,0.404,0.293,0.328,0.327,0.141,0.305,0.247,0.313,0.355,0.175,0.388,0.776,0.274,0.714,0.187,0.418,0.389,0.581,0.468,0.233,0.255,0.231,0.517,0.22,0.355,0.308,0.533,0.148,0.369,0.382,0.304,0.619,0.819,0.652
0:46:00,0.14,1.011,0.451,0.269,0.995,0.682,0.316,0.889,0.551,1.205,1.512,0.824,0.308,0.482,0.291,0.393,0.45,0.492,0.676,0.416,0.297,0.333,0.353,0.142,0.316,0.257,0.337,0.363,0.177,0.405,0.806,0.286,0.752,0.207,0.428,0.41,0.601,0.484,0.24,0.261,0.235,0.539,0.224,0.366,0.316,0.558,0.151,0.384,0.4,0.319,0.652,0.862,0.67
0:48:00,0.138,1.054,0.461,0.248,1.044,0.706,0.331,0.93,0.577,1.266,1.573,0.859,0.281,0.446,0.305,0.403,0.456,0.483,0.709,0.434,0.31,0.327,0.373,0.141,0.329,0.258,0.342,0.373,0.181,0.423,0.838,0.295,0.791,0.197,0.449,0.414,0.624,0.504,0.249,0.269,0.24,0.566,0.228,0.362,0.329,0.583,0.155,0.4,0.418,0.328,0.715,0.898,0.699
0:50:00,0.143,1.102,0.477,0.261,1.094,0.7,0.345,0.977,0.606,1.329,1.645,0.897,0.308,0.491,0.318,0.42,0.473,0.522,0.743,0.45,0.308,0.345,0.401,0.147,0.341,0.273,0.341,0.387,0.189,0.441,0.874,0.299,0.832,0.2,0.465,0.436,0.651,0.523,0.258,0.273,0.245,0.588,0.233,0.383,0.341,0.608,0.158,0.416,0.436,0.344,0.712,0.943,0.751
0:52:00,0.149,1.148,0.5,0.273,1.142,0.707,0.36,1.02,0.633,1.388,1.719,0.934,0.341,0.531,0.332,0.433,0.49,0.536,0.77,0.465,0.314,0.345,0.376,0.143,0.353,0.292,0.371,0.405,0.189,0.459,0.91,0.309,0.871,0.206,0.479,0.428,0.67,0.537,0.264,0.279,0.249,0.615,0.237,0.384,0.348,0.635,0.161,0.431,0.454,0.35,0.717,0.988,0.759
0:54:00,0.148,1.198,0.507,0.277,1.195,0.76,0.373,1.063,0.66,1.451,1.79,0.972,0.322,0.493,0.345,0.443,0.506,0.546,0.808,0.481,0.353,0.35,0.387,0.144,0.365,0.287,0.362,0.412,0.199,0.477,0.946,0.322,0.911,0.211,0.495,0.447,0.693,0.557,0.272,0.284,0.254,0.634,0.241,0.4,0.356,0.659,0.166,0.446,0.472,0.359,0.752,1.027,0.818
0:56:00,0.147,1.239,0.514,0.274,1.241,0.735,0.388,1.104,0.679,1.507,1.857,1.004,0.316,0.511,0.358,0.457,0.524,0.544,0.831,0.492,0.323,0.36,0.374,0.142,0.377,0.296,0.348,0.421,0.211,0.495,0.97,0.327,0.95,0.219,0.508,0.47,0.718,0.576,0.279,0.293,0.258,0.66,0.245,0.395,0.361,0.682,0.167,0.462,0.49,0.365,0.778,1.07,0.832
0:58:00,0.147,1.277,0.534,0.286,1.29,0.771,0.402,1.147,0.71,1.571,1.923,1.041,0.326,0.522,0.372,0.47,0.54,0.544,0.865,0.511,0.359,0.364,0.38,0.145,0.389,0.305,0.332,0.436,0.211,0.513,1.008,0.336,0.989,0.222,0.524,0.456,0.742,0.595,0.287,0.3,0.262,0.687,0.249,0.394,0.38,0.707,0.17,0.477,0.508,0.38,0.794,1.109,0.872
1:00:00,0.153,1.316,0.543,0.288,1.343,0.774,0.416,1.192,0.736,1.63,2.004,1.079,0.331,0.535,0.385,0.484,0.559,0.586,0.893,0.524,0.368,0.372,0.389,0.147,0.402,0.311,0.364,0.448,0.211,0.532,1.04,0.343,1.029,0.228,0.535,0.517,0.758,0.612,0.295,0.3,0.266,0.709,0.254,0.417,0.384,0.732,0.173,0.493,0.526,0.39,0.836,1.154,0.892
