Time,Prebiotic_P01_M0,Prebiotic_P01_M3,Prebiotic_P01_M6,Prebiotic_P04_M0,Prebiotic_P04_M3,Prebiotic_P04_M6,Placebo_P05_M0,Placebo_P05_M3,Placebo_P05_M6,Placebo_P06_M0,Placebo_P06_M3,Placebo_P06_M6,Prebiotic_P08_M0,Prebiotic_P08_M3,Prebiotic_P08_M6,Placebo_P13_M0,Placebo_P13_M3,Placebo_P13_M6,Prebiotic_P19_M0,Prebiotic_P19_M6,Placebo_P25_M0,Placebo_P25_M3,Placebo_P25_M6,Prebiotic_P26_M0,Prebiotic_P26_M3,Prebiotic_P28_M0,Prebiotic_P28_M6,Placebo_P29_M0,Placebo_P29_M3,Placebo_P29_M6,Prebiotic_P30_M0,Prebiotic_P30_M3,Prebiotic_P30_M6,Prebiotic_P35_M0,Prebiotic_P35_M3,Prebiotic_P35_M6,Placebo_P36_M0,Placebo_P36_M3,Placebo_P36_M6,Placebo_P37_M0,Placebo_P37_M3,Placebo_P37_M6,Prebiotic_P39_M0,Prebiotic_P39_M3,Prebiotic_P39_M6,Prebiotic_P40_M0,Prebiotic_P40_M3,Placebo_P42_M0,Placebo_P42_M3,Placebo_P45_M0,Placebo_P45_M3,Prebiotic_P50_M0,Prebiotic_P50_M3
0:42:00,0.162,0.262,0.222,0.095,0.104,0.273,0.142,0.176,0.153,0.156,0.125,0.288,0.08,0.122,0.068,0.13,0.082,0.107,0.181,0.186,0.122,0.149,0.111,0.046,0.099,0.059,0.141,0.153,0.093,0.158,0.15,0.143,0.101,0.113,0.138,0.056,0.105,0.164,0.105,0.141,0.094,0.157,0.084,0.113,0.121,0.249,0.077,0.126,0.125,0.187,0.362,0.224,0.137
0:44:00,0.172,0.278,0.234,0.096,0.112,0.29,0.15,0.187,0.168,0.165,0.131,0.303,0.09,0.133,0.072,0.137,0.086,0.116,0.197,0.196,0.136,0.157,0.115,0.049,0.104,0.062,0.14,0.164,0.099,0.168,0.161,0.154,0.108,0.117,0.144,0.069,0.11,0.173,0.111,0.149,0.098,0.166,0.088,0.118,0.131,0.266,0.081,0.134,0.132,0.185,0.383,0.24,0.147
0:46:00,0.182,0.292,0.244,0.102,0.117,0.29,0.159,0.194,0.172,0.174,0.138,0.32,0.088,0.137,0.075,0.144,0.09,0.12,0.21,0.207,0.144,0.164,0.117,0.049,0.108,0.067,0.149,0.171,0.105,0.178,0.17,0.16,0.115,0.124,0.149,0.064,0.114,0.181,0.116,0.154,0.103,0.175,0.091,0.123,0.133,0.279,0.084,0.141,0.138,0.206,0.406,0.251,0.154
0:48:00,0.178,0.294,0.255,0.109,0.123,0.245,0.167,0.202,0.181,0.182,0.145,0.336,0.091,0.14,0.079,0.151,0.094,0.127,0.221,0.218,0.146,0.172,0.121,0.051,0.113,0.066,0.14,0.181,0.11,0.189,0.177,0.172,0.122,0.13,0.154,0.066,0.115,0.192,0.12,0.165,0.106,0.185,0.095,0.118,0.139,0.293,0.087,0.148,0.145,0.205,0.429,0.268,0.155
0:50:00,0.186,0.313,0.268,0.114,0.128,0.262,0.175,0.21,0.188,0.191,0.153,0.352,0.094,0.143,0.082,0.158,0.099,0.138,0.234,0.231,0.148,0.178,0.124,0.051,0.117,0.069,0.163,0.19,0.116,0.199,0.188,0.185,0.129,0.137,0.163,0.079,0.119,0.198,0.125,0.171,0.109,0.193,0.098,0.121,0.144,0.308,0.091,0.155,0.151,0.218,0.453,0.276,0.149
0:52:00,0.196,0.331,0.28,0.118,0.135,0.268,0.183,0.218,0.196,0.2,0.159,0.367,0.098,0.151,0.086,0.165,0.103,0.14,0.246,0.237,0.156,0.188,0.129,0.053,0.122,0.073,0.171,0.199,0.121,0.209,0.197,0.196,0.136,0.144,0.169,0.075,0.122,0.206,0.131,0.183,0.114,0.206,0.102,0.127,0.15,0.323,0.094,0.162,0.158,0.23,0.473,0.29,0.169
0:54:00,0.209,0.342,0.289,0.121,0.14,0.278,0.192,0.228,0.208,0.208,0.167,0.385,0.102,0.157,0.089,0.172,0.108,0.147,0.26,0.25,0.169,0.198,0.129,0.055,0.126,0.076,0.162,0.208,0.126,0.219,0.207,0.206,0.144,0.144,0.17,0.092,0.126,0.215,0.137,0.184,0.117,0.211,0.105,0.134,0.156,0.337,0.097,0.17,0.164,0.235,0.495,0.303,0.177
0:56:00,0.215,0.363,0.299,0.125,0.145,0.284,0.2,0.233,0.212,0.216,0.172,0.397,0.105,0.167,0.092,0.178,0.111,0.153,0.276,0.261,0.175,0.204,0.132,0.051,0.129,0.075,0.156,0.218,0.132,0.229,0.217,0.216,0.15,0.149,0.175,0.089,0.128,0.222,0.143,0.191,0.121,0.224,0.108,0.143,0.159,0.351,0.1,0.176,0.169,0.252,0.519,0.316,0.184
0:58:00,0.218,0.373,0.31,0.13,0.151,0.285,0.209,0.243,0.222,0.224,0.18,0.412,0.11,0.171,0.096,0.185,0.115,0.159,0.287,0.267,0.182,0.213,0.137,0.056,0.134,0.081,0.178,0.225,0.137,0.239,0.226,0.223,0.157,0.154,0.185,0.092,0.131,0.231,0.148,0.199,0.124,0.231,0.111,0.143,0.168,0.366,0.103,0.183,0.176,0.248,0.54,0.329,0.193
1:00:00,0.222,0.381,0.323,0.137,0.157,0.295,0.216,0.251,0.229,0.232,0.187,0.427,0.113,0.173,0.099,0.192,0.12,0.171,0.298,0.271,0.187,0.22,0.144,0.058,0.139,0.08,0.175,0.236,0.143,0.249,0.234,0.233,0.164,0.163,0.19,0.082,0.134,0.24,0.154,0.206,0.128,0.238,0.115,0.143,0.172,0.381,0.107,0.191,0.182,0.266,0.562,0.342,0.199
1:02:00,0.231,0.4,0.335,0.141,0.163,0.291,0.226,0.259,0.238,0.242,0.194,0.443,0.121,0.18,0.103,0.199,0.124,0.172,0.313,0.282,0.193,0.228,0.146,0.059,0.143,0.083,0.18,0.243,0.148,0.26,0.245,0.24,0.171,0.166,0.195,0.106,0.137,0.248,0.158,0.22,0.132,0.249,0.118,0.144,0.178,0.396,0.11,0.198,0.188,0.276,0.586,0.357,0.195
1:04:00,0.243,0.416,0.343,0.144,0.169,0.319,0.237,0.267,0.247,0.25,0.201,0.457,0.123,0.184,0.106,0.206,0.128,0.178,0.321,0.29,0.198,0.236,0.152,0.064,0.147,0.09,0.192,0.253,0.154,0.27,0.252,0.25,0.179,0.173,0.204,0.109,0.141,0.256,0.164,0.218,0.136,0.257,0.122,0.15,0.184,0.411,0.114,0.205,0.194,0.275,0.61,0.369,0.213
1:06:00,0.239,0.411,0.355,0.15,0.174,0.307,0.241,0.274,0.253,0.257,0.208,0.472,0.134,0.188,0.109,0.212,0.132,0.186,0.335,0.301,0.207,0.244,0.155,0.062,0.15,0.086,0.185,0.259,0.159,0.28,0.262,0.262,0.185,0.173,0.209,0.109,0.143,0.266,0.169,0.227,0.139,0.265,0.124,0.151,0.191,0.424,0.116,0.212,0.199,0.289,0.629,0.381,0.212
1:08:00,0.251,0.432,0.367,0.156,0.181,0.315,0.254,0.284,0.261,0.266,0.216,0.488,0.137,0.196,0.113,0.22,0.137,0.2,0.349,0.31,0.216,0.253,0.159,0.061,0.156,0.089,0.186,0.27,0.165,0.291,0.272,0.274,0.193,0.177,0.213,0.105,0.148,0.276,0.175,0.236,0.144,0.275,0.129,0.159,0.195,0.44,0.12,0.22,0.207,0.29,0.652,0.395,0.213
1:10:00,0.256,0.442,0.377,0.158,0.186,0.322,0.262,0.291,0.27,0.274,0.221,0.501,0.137,0.196,0.116,0.227,0.141,0.206,0.36,0.315,0.214,0.26,0.166,0.066,0.159,0.095,0.197,0.278,0.17,0.301,0.28,0.283,0.2,0.183,0.224,0.118,0.149,0.282,0.179,0.24,0.147,0.284,0.131,0.16,0.199,0.454,0.123,0.226,0.212,0.297,0.673,0.407,0.219
1:12:00,0.268,0.463,0.388,0.164,0.192,0.347,0.272,0.3,0.278,0.283,0.229,0.522,0.139,0.208,0.119,0.234,0.145,0.208,0.37,0.321,0.221,0.268,0.16,0.066,0.163,0.096,0.207,0.287,0.176,0.311,0.29,0.292,0.207,0.188,0.225,0.118,0.153,0.289,0.186,0.246,0.15,0.293,0.135,0.165,0.207,0.468,0.127,0.233,0.218,0.314,0.698,0.422,0.236
