Time,Prebiotic_P01_M0,Prebiotic_P01_M3,Prebiotic_P01_M6,Prebiotic_P04_M0,Prebiotic_P04_M3,Prebiotic_P04_M6,Placebo_P05_M0,Placebo_P05_M3,Placebo_P05_M6,Placebo_P06_M0,Placebo_P06_M3,Placebo_P06_M6,Prebiotic_P08_M0,Prebiotic_P08_M3,Prebiotic_P08_M6,Placebo_P13_M0,Placebo_P13_M3,Placebo_P13_M6,Prebiotic_P19_M0,Prebiotic_P19_M6,Placebo_P25_M0,Placebo_P25_M3,Placebo_P25_M6,Prebiotic_P26_M0,Prebiotic_P26_M3,Prebiotic_P28_M0,Prebiotic_P28_M6,Placebo_P29_M0,Placebo_P29_M3,Placebo_P29_M6,Prebiotic_P30_M0,Prebiotic_P30_M3,Prebiotic_P30_M6,Prebiotic_P35_M0,Prebiotic_P35_M3,Prebiotic_P35_M6,Placebo_P36_M0,Placebo_P36_M3,Placebo_P36_M6,Placebo_P37_M0,Placebo_P37_M3,Placebo_P37_M6,Prebiotic_P39_M0,Prebiotic_P39_M3,Prebiotic_P39_M6,Prebiotic_P40_M0,Prebiotic_P40_M3,Placebo_P42_M0,Placebo_P42_M3,Placebo_P45_M0,Placebo_P45_M3,Prebiotic_P50_M0,Prebiotic_P50_M3
0:42:00,0.487,0.859,0.755,0.388,0.386,0.921,0.34,0.637,0.417,0.421,0.475,0.464,0.36,0.546,0.256,0.595,0.567,0.458,0.441,0.488,0.384,0.541,0.425,0.291,0.394,0.488,0.498,0.534,0.402,0.453,0.501,0.51,0.424,0.374,0.375,0.236,0.665,0.567,0.457,0.509,0.515,0.484,0.542,0.676,0.623,0.48,0.303,0.395,0.33,0.414,0.443,0.519,0.447
0:44:00,0.485,0.858,0.791,0.381,0.386,0.923,0.349,0.637,0.414,0.421,0.476,0.469,0.368,0.551,0.257,0.597,0.565,0.453,0.446,0.488,0.389,0.551,0.436,0.29,0.395,0.486,0.494,0.557,0.403,0.453,0.507,0.509,0.425,0.375,0.363,0.236,0.666,0.566,0.456,0.509,0.517,0.487,0.543,0.679,0.624,0.483,0.304,0.394,0.33,0.402,0.461,0.523,0.45
0:46:00,0.486,0.858,0.783,0.394,0.384,0.915,0.342,0.636,0.415,0.425,0.474,0.462,0.356,0.548,0.257,0.596,0.565,0.451,0.445,0.492,0.401,0.547,0.486,0.292,0.395,0.483,0.486,0.547,0.406,0.456,0.509,0.513,0.425,0.379,0.348,0.227,0.667,0.571,0.458,0.507,0.52,0.486,0.544,0.676,0.627,0.485,0.303,0.395,0.33,0.409,0.463,0.529,0.449
0:48:00,0.487,0.862,0.757,0.387,0.386,0.935,0.349,0.636,0.418,0.421,0.476,0.466,0.364,0.55,0.257,0.596,0.565,0.454,0.451,0.487,0.39,0.546,0.433,0.292,0.396,0.491,0.502,0.546,0.403,0.453,0.503,0.513,0.426,0.374,0.338,0.234,0.662,0.567,0.459,0.506,0.521,0.488,0.545,0.678,0.625,0.484,0.303,0.393,0.33,0.408,0.458,0.51,0.459
0:50:00,0.487,0.857,0.772,0.386,0.386,0.895,0.347,0.636,0.414,0.422,0.47,0.467,0.357,0.545,0.258,0.597,0.566,0.448,0.447,0.488,0.392,0.547,0.467,0.289,0.396,0.496,0.505,0.537,0.404,0.453,0.504,0.509,0.427,0.375,0.338,0.222,0.678,0.571,0.458,0.508,0.523,0.489,0.545,0.675,0.627,0.49,0.303,0.394,0.331,0.421,0.466,0.52,0.458
0:52:00,0.487,0.864,0.775,0.383,0.385,0.899,0.347,0.637,0.416,0.423,0.473,0.465,0.356,0.553,0.258,0.598,0.578,0.453,0.448,0.49,0.395,0.55,0.446,0.289,0.397,0.488,0.51,0.55,0.404,0.453,0.507,0.509,0.428,0.38,0.331,0.221,0.671,0.569,0.459,0.514,0.524,0.493,0.545,0.674,0.626,0.479,0.303,0.396,0.331,0.418,0.448,0.531,0.459
0:54:00,0.489,0.859,0.773,0.388,0.387,0.911,0.345,0.637,0.415,0.424,0.467,0.467,0.362,0.556,0.259,0.599,0.567,0.466,0.455,0.483,0.404,0.554,0.46,0.29,0.397,0.49,0.512,0.53,0.405,0.458,0.506,0.514,0.428,0.374,0.345,0.225,0.672,0.57,0.459,0.507,0.526,0.485,0.546,0.675,0.635,0.492,0.304,0.396,0.331,0.422,0.434,0.519,0.451
0:56:00,0.488,0.86,0.777,0.394,0.387,0.911,0.343,0.636,0.419,0.428,0.474,0.461,0.356,0.556,0.259,0.598,0.574,0.462,0.454,0.486,0.401,0.554,0.468,0.291,0.397,0.486,0.503,0.551,0.405,0.454,0.51,0.513,0.429,0.381,0.342,0.214,0.668,0.575,0.46,0.509,0.528,0.486,0.546,0.674,0.628,0.483,0.303,0.394,0.331,0.41,0.441,0.532,0.451
0:58:00,0.486,0.86,0.774,0.385,0.388,0.945,0.345,0.636,0.419,0.425,0.474,0.465,0.367,0.548,0.259,0.6,0.569,0.477,0.456,0.488,0.411,0.561,0.496,0.292,0.398,0.486,0.504,0.546,0.406,0.461,0.509,0.517,0.43,0.374,0.355,0.225,0.673,0.573,0.458,0.511,0.528,0.492,0.546,0.676,0.63,0.497,0.303,0.393,0.332,0.411,0.442,0.54,0.449
1:00:00,0.491,0.863,0.753,0.391,0.385,0.919,0.345,0.637,0.414,0.423,0.471,0.466,0.368,0.555,0.26,0.599,0.577,0.453,0.458,0.491,0.404,0.552,0.477,0.289,0.399,0.486,0.504,0.554,0.406,0.454,0.506,0.51,0.43,0.377,0.35,0.219,0.681,0.573,0.46,0.507,0.531,0.481,0.546,0.678,0.631,0.495,0.304,0.394,0.332,0.417,0.453,0.547,0.452
1:02:00,0.488,0.865,0.775,0.4,0.386,0.944,0.349,0.637,0.417,0.424,0.469,0.466,0.364,0.546,0.26,0.6,0.57,0.461,0.465,0.488,0.403,0.56,0.473,0.291,0.399,0.491,0.499,0.541,0.406,0.465,0.509,0.513,0.43,0.375,0.361,0.22,0.665,0.576,0.459,0.515,0.531,0.489,0.547,0.675,0.631,0.498,0.303,0.395,0.332,0.416,0.464,0.526,0.469
