Sample_ID,Phylum,Genus,galactan,pectin,xylan,alpha-glucan,arabinogalactan,beta-glucan,host glycan,fructan,Hostglycan_ratio,Category,Placebo_M0_OA05,Placebo_M0_OA06,Placebo_M0_OA09,Placebo_M0_OA10,Placebo_M0_OA13,Placebo_M0_OA20,Placebo_M0_OA23,Placebo_M0_OA24,Placebo_M0_OA25,Placebo_M0_OA29,Placebo_M0_OA33,Placebo_M0_OA34,Placebo_M0_OA36,Placebo_M0_OA37,Placebo_M0_OA42,Placebo_M0_OA44,Placebo_M0_OA45,Placebo_M3_OA05,Placebo_M3_OA06,Placebo_M3_OA09,Placebo_M3_OA10,Placebo_M3_OA13,Placebo_M3_OA20,Placebo_M3_OA23,Placebo_M3_OA24,Placebo_M3_OA25,Placebo_M3_OA29,Placebo_M3_OA33,Placebo_M3_OA34,Placebo_M3_OA36,Placebo_M3_OA37,Placebo_M3_OA42,Placebo_M3_OA45,Placebo_M6_OA05,Placebo_M6_OA06,Placebo_M6_OA09,Placebo_M6_OA10,Placebo_M6_OA13,Placebo_M6_OA20,Placebo_M6_OA23,Placebo_M6_OA24,Placebo_M6_OA25,Placebo_M6_OA29,Placebo_M6_OA33,Placebo_M6_OA34,Placebo_M6_OA36,Placebo_M6_OA37,Placebo_M6_OA44,Prebiotic_M0_OA01,Prebiotic_M0_OA04,Prebiotic_M0_OA08,Prebiotic_M0_OA12,Prebiotic_M0_OA19,Prebiotic_M0_OA22,Prebiotic_M0_OA26,Prebiotic_M0_OA28,Prebiotic_M0_OA30,Prebiotic_M0_OA35,Prebiotic_M0_OA39,Prebiotic_M0_OA40,Prebiotic_M0_OA50,Prebiotic_M3_OA01,Prebiotic_M3_OA04,Prebiotic_M3_OA08,Prebiotic_M3_OA12,Prebiotic_M3_OA19,Prebiotic_M3_OA22,Prebiotic_M3_OA26,Prebiotic_M3_OA28,Prebiotic_M3_OA30,Prebiotic_M3_OA35,Prebiotic_M3_OA39,Prebiotic_M3_OA40,Prebiotic_M3_OA50,Prebiotic_M6_OA01,Prebiotic_M6_OA04,Prebiotic_M6_OA08,Prebiotic_M6_OA12,Prebiotic_M6_OA19,Prebiotic_M6_OA26,Prebiotic_M6_OA28,Prebiotic_M6_OA30,Prebiotic_M6_OA35,Prebiotic_M6_OA39
Li32124_S1_Metabat2_binout.46,Firmicutes,1XD42-69,2,0,1,3,4,1,2,0,0.15,Generlist,0,0,0,0,1193.633433,0,0,0,0,0,0,155.4250479,1014.454948,0,1094.514056,0,0,0,0,0,0,585.8400105,0,0,0,0,0,0,708.3324716,395.7310954,0,0,0,49.21668136,0,0,0,3490.443375,0,0,0,0,0,0,0,101.6298214,0,0,252.5668443,0,0,0,131.6218453,0,0,0,127.9008277,0,0,0,0,121.0943808,0,0,0,73.3627462,0,0,0,156.2934608,0,0,0,0,466.2438247,0,0,0,149.1551715,0,0,78.49723889,0,0
Li32137_S14_Maxbin2out.008,Firmicutes,Acetatifactor,3,1,2,11,0,1,4,0,0.17,Generlist,594.0965263,850.4380642,801.4407449,511.6560823,1142.757254,1081.45943,1168.784853,1204.49195,862.5216137,833.9160774,716.8055738,1268.775901,1781.85216,0,3873.841883,191.2601739,1053.662388,780.1199217,1290.333969,647.1879546,0,1452.778143,988.4248611,610.9657699,927.9341179,666.8326224,1079.997131,1105.214276,1127.127583,3221.108511,0,1752.494711,721.9641033,725.5945024,1016.861095,488.3268343,0,7085.118978,0,1269.833427,0,740.9520749,513.2511504,1298.75791,906.6272481,726.1183292,0,0,224.9564904,826.184578,14626.80182,1236.878674,1285.435924,1859.042272,1359.051588,808.2380411,1919.742231,599.6154355,2330.648953,1002.964195,1656.520752,165.128701,830.5080889,34758.30917,1264.132376,3584.79723,2947.360415,757.9320074,849.5006627,1769.559862,1245.850514,1216.559192,745.3439174,1482.320664,596.4201632,1380.447333,38218.80112,2080.730282,2191.225066,1280.959866,1066.74066,1619.784295,1733.088804,1490.289974
Li32131_S8_Metabat2_binout.89,Firmicutes,Acutalibacter,1,1,4,4,3,1,1,0,0.06,Generlist,1131.95576,0,0,0,557.0289355,93.1256731,0,0,0,0,0,53.92297579,0,0,0,99.05564233,238.3645459,1413.047405,0,0,0,1187.442533,116.5595355,0,0,0,0,0,127.9651728,0,0,0,437.6907377,2252.717815,0,0,0,224.5001864,367.7599627,0,0,0,0,0,53.49663886,45.46597273,0,196.2125741,0,1008.622813,0,448.0529889,53.60405796,0,0,544.0314028,1675.008916,0,0,0,112.1946326,0,2885.446768,0,451.9305071,0,0,0,323.1647786,747.029762,211.660625,0,0,0,0,0,0,440.0064654,1842.744347,0,0,188.1441758,0,0
Li32142_S19_Metabat2_binout.103,Firmicutes,Acutalibacter,0,0,3,1,0,1,1,0,0.17,Generlist,0,0,0,7812.696759,208.7227861,0,56.73712878,0,130.930511,466.1952361,0,0,0,0,0,36.25379417,0,0,42.36390595,0,4904.217079,182.5824248,0,0,0,358.5676384,227.8118949,108.7966034,0,0,0,63.41263756,0,0,0,0,5737.611757,122.9405783,0,0,0,202.2037438,2194.081489,88.46426044,0,0,0,0,0,358.3608185,187.1588946,427.8590514,0,0,85.39301775,957.9117524,105.764146,46.49105762,0,0,855.3190815,0,210.471228,102.0802031,776.556646,0,0,146.6072861,657.2380729,51.65631333,154.056784,0,0,242.9586356,0,0,145.5071083,85.94878479,0,94.73765675,1492.203698,71.02131138,97.00123903,0
Li32203_S80_Maxbin2out.015,Firmicutes,Acutalibacter,2,0,3,3,3,3,3,0,0.18,Generlist,305.7001543,0,0,532.8646245,0,0,0,0,0,395.1440905,0,0,0,0,0,326.2841475,0,418.8293919,0,0,805.4971068,0,0,0,0,510.7654129,0,0,510.5681137,0,0,0,0,473.886332,0,0,910.6233456,0,0,0,0,0,362.7691378,0,0,0,0,6233.019437,0,0,1181.440522,376.1120865,0,0,0,537.5238502,0,0,0,0,0,0,0,0,387.0052793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li32151_S28_Metabat2_binout.150,Firmicutes,Agathobacter,3,0,2,5,0,2,2,0,0.14,Generlist,682.0574197,0,0,454.6581249,13103.87742,56950.85518,2820.645831,16212.25177,4718.897592,2443.1622,26362.08325,22138.5535,13559.19103,1864.181503,4235.093011,3127.817501,20534.2706,15310.68978,628.3979383,0,0,7806.383817,14113.02856,6651.357001,12537.50248,435.9563373,10385.12866,53506.70028,2958.709904,10611.6541,7974.7761,22076.24505,6329.218639,12024.33835,0,0,0,19401.89409,49537.64611,9310.053054,23095.04189,1570.541407,3818.481072,19962.15268,28613.66276,5685.92106,17172.1008,0,136.8447597,31182.60373,0,13070.52606,23928.10845,57307.52283,44971.72623,20457.14256,3595.980962,11141.16473,672.243686,13074.75508,22215.85719,4816.565344,9378.768573,0,26553.14512,27866.10552,56813.42801,23107.24461,26470.87699,57897.4556,11244.80561,22751.84232,13032.64779,10019.99631,2731.046449,81737.1617,19499.55149,24794.30018,0,16659.14992,20015.26117,6571.340284,23855.83805,28440.47171
Li32157_S34_Metabat2_binout.27,Firmicutes,Agathobaculum,0,0,0,1,0,0,1,0,0.5,Generlist,0,0,0,141.8321264,0,0,79.43198029,71.12682379,403.5899256,0,856.076222,428.2118665,1965.420198,0,0,0,0,421.5056181,0,0,101.3720849,0,0,0,83.13507249,170.2551376,0,1379.85936,0,1000.023173,0,0,0,102.6519354,0,0,53.40497817,0,0,0,0,102.4868291,0,739.7663518,0,116.3394008,0,48.39910161,150.8762511,0,0,0,122.5993801,3131.441521,0,0,848.5727989,0,0,1966.258267,158.3924225,254.0281778,0,0,0,0,2773.506897,0,0,491.397237,507.7175751,0,387.4450431,0,545.9436237,2103.135507,0,0,0,0,0,950.6887821,0,0
Li32193_S70_Maxbin2out.037,Firmicutes,Agathobaculum,1,0,0,0,1,0,1,0,0.33,Generlist,273.9765534,1335.896459,0,306.198329,1324.085175,2574.474253,397.1599014,1746.68823,954.3079513,215.6464595,261.9846459,1906.335791,4188.939819,7210.018781,1103.737489,249.7800779,4594.21093,299.7373284,1293.864294,0,250.6904261,2080.651517,3659.969415,0,1059.972174,540.4310808,2400.462374,448.4542922,1295.162658,1467.057169,3331.787609,671.5974796,1589.825119,368.4220148,1691.920141,101.974133,0,2278.40963,1304.220899,737.442175,1406.218476,376.7083446,96.73843673,639.7632748,537.7820012,970.8322413,1977.303862,657.9661651,68.95044675,454.792457,3390.583902,1173.772619,2540.089321,626.8240513,2273.770015,735.3534512,1628.275921,1289.828829,2347.493327,325.9849232,4185.519765,85.3684228,2646.533482,1583.838152,860.577529,393.2243196,400.6780287,1258.60972,699.5085714,425.1711943,2050.964663,3486.498378,458.2443531,1798.985852,195.2645078,880.7762123,2089.86583,918.4974613,215.5970207,1183.553543,382.300121,1137.58697,1717.568606,3480.428759
Li32130_S7_Maxbin2out.001,Verrucomicrobiota,Akkermansia,0,0,0,0,0,1,3,0,0.75,Specilist,111606.512,17400.31714,1193.578968,8724.664077,16361.2574,898.2121373,0,3611.143824,0,946.1020968,0,0,501.0165253,0,0,2569.166516,0,9638.428466,6682.906164,1737.260887,10455.02367,28444.76553,242.4438338,0,0,0,0,0,0,1604.315252,0,11595.8655,0,0,15459.70667,6606.774817,6953.602029,64917.97057,1019.870412,3186.936033,0,0,163.9179067,0,0,524.1959209,0,114070.1421,0,30326.44716,0,25740.95974,807.2452688,1346.064469,0,2962.237973,0,615.1124547,0,288.9019822,29797.57448,0,4906.254977,0,29912.70739,427.2646339,11210.83542,0,3168.92382,0,4218.476633,2906.629446,186.7540855,24279.48433,0,664.8166602,0,17528.42083,4537.029127,0,499.4566097,0,927.3318451,6883.720356
Li32184_S61_Metabat2_binout.76,Verrucomicrobiota,Akkermansia,0,1,0,0,0,1,4,0,0.67,Specilist,0,0,0,3315.160264,0,301.9074241,0,0,0,320.3534109,0,1419.443039,155.9638219,1301.380635,0,0,7040.104455,0,0,0,3960.360775,0,59.05683132,0,0,0,0,0,10944.25372,581.1186355,392.4880691,0,1383.764531,12621.96948,0,0,2607.258421,0,339.956804,0,0,0,40.30768197,0,23587.79432,167.1543115,32080.20346,0,0,0,0,0,277.042755,1445.177674,435.6491244,0,384.9322986,0,0,0,0,0,0,0,0,143.2040806,0,5969.406102,0,116.5578352,0,1043.181295,0,0,0,169.3800408,0,0,1646.130711,148.1109845,0,44.85556508,0,2533.184407
