Phylum,Class,Order,Family,Genus,Species
p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Abiotrophia,s__Abiotrophia_defectiva
p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Abiotrophia,s__Abiotrophia_defectiva
p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Abiotrophia,s__Abiotrophia_sp_HMSC24B09
p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Abiotrophia,s__Abiotrophia_sp_HMSC24B09
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Acetivibrio,s__Acetivibrio_sp_MSJd_27
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Acetivibrio,s__Acetivibrio_sp_MSJd_27
p__Firmicutes,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Acidaminococcus,s__Acidaminococcus_intestini
p__Firmicutes,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Acidaminococcus,s__Acidaminococcus_intestini
p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinobaculum,s__Actinobaculum_sp_oral_taxon_183
p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinobaculum,s__Actinobaculum_sp_oral_taxon_183
p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_bouchesdurhonensis
p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_bouchesdurhonensis
p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_dentalis
p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_dentalis
p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_graevenitzii
p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_graevenitzii
p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_johnsonii
p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_johnsonii
p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_massiliensis
p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_massiliensis
p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_naeslundii
p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_naeslundii
p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_oris
p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_oris
p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_oris
p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_SGB17132
p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_SGB17132
p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_sp_ICM47
p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_sp_ICM47
p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_sp_oral_taxon_448
p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_sp_oral_taxon_448
p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_sp_ph3
p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_sp_ph3
p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_urogenitalis
p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_urogenitalis
p__Actinobacteria,c__Coriobacteriia,o__Eggerthellales,f__Eggerthellaceae,g__Adlercreutzia,s__Adlercreutzia_equolifaciens
p__Actinobacteria,c__Coriobacteriia,o__Eggerthellales,f__Eggerthellaceae,g__Adlercreutzia,s__Adlercreutzia_equolifaciens
p__Actinobacteria,c__Coriobacteriia,o__Eggerthellales,f__Eggerthellaceae,g__Adlercreutzia,s__Adlercreutzia_equolifaciens
p__Actinobacteria,c__Coriobacteriia,o__Eggerthellales,f__Eggerthellaceae,g__Adlercreutzia,s__Adlercreutzia_sp_DSM_108611
p__Actinobacteria,c__Coriobacteriia,o__Eggerthellales,f__Eggerthellaceae,g__Adlercreutzia,s__Adlercreutzia_sp_DSM_108611
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Agathobaculum,s__Agathobaculum_butyriciproducens
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Agathobaculum,s__Agathobaculum_butyriciproducens
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Agathobaculum,s__Agathobaculum_butyriciproducens
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Agathobaculum,s__Agathobaculum_sp_Marseille_P7918
p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Agathobaculum,s__Agathobaculum_sp_Marseille_P7918
p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Aggregatibacter,s__Aggregatibacter_aphrophilus
p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Aggregatibacter,s__Aggregatibacter_aphrophilus
p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Akkermansiaceae,g__Akkermansia,s__Akkermansia_muciniphila
p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Akkermansiaceae,g__Akkermansia,s__Akkermansia_muciniphila
p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Akkermansiaceae,g__Akkermansia,s__Akkermansia_muciniphila
p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Akkermansiaceae,g__Akkermansia,s__Akkermansia_sp_KLE1798
p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Akkermansiaceae,g__Akkermansia,s__Akkermansia_sp_KLE1798
p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes_communis
p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes_communis
