clade_name,Li32124_S1,Li32125_S2,Li32126_S3,Li32127_S4,Li32128_S5,Li32129_S6,Li32130_S7,Li32131_S8,Li32132_S9,Li32133_S10,Li32134_S11,Li32135_S12,Li32136_S13,Li32137_S14,Li32138_S15,Li32139_S16,Li32140_S17,Li32141_S18,Li32142_S19,Li32143_S20,Li32144_S21,Li32145_S22,Li32146_S23,Li32147_S24,Li32148_S25,Li32149_S26,Li32150_S27,Li32151_S28,Li32152_S29,Li32153_S30,Li32154_S31,Li32155_S32,Li32156_S33,Li32157_S34,Li32158_S35,Li32159_S36,Li32160_S37,Li32161_S38,Li32162_S39,Li32163_S40,Li32164_S41,Li32165_S42,Li32166_S43,Li32167_S44,Li32168_S45,Li32169_S46,Li32170_S47,Li32171_S48,Li32172_S49,Li32173_S50,Li32174_S51,Li32175_S52,Li32176_S53,Li32177_S54,Li32178_S55,Li32179_S56,Li32180_S57,Li32181_S58,Li32182_S59,Li32183_S60,Li32184_S61,Li32185_S62,Li32186_S63,Li32187_S64,Li32188_S65,Li32189_S66,Li32190_S67,Li32191_S68,Li32192_S69,Li32193_S70,Li32194_S71,Li32195_S72,Li32196_S73,Li32197_S74,Li32198_S75,Li32199_S76,Li32200_S77,Li32201_S78,Li32202_S79,Li32203_S80,Li32204_S81,Li32205_S82,Li32206_S83,Li32207_S84
k__Bacteria,100,100,100,100,100,99.99794,96.47751,98.85504,98.05817,100,99.99908,100,100,100,100,100,100,100,99.99977,100,100,98.49004,99.17036,98.29578,99.98355,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.05408,99.9616,99.11699,99.97941,99.90989,99.82975,99.69369,99.23823,99.71024,100,100,100,99.95265,99.9939,99.20129,100,100,100,100,100,100,100,100,99.98645,99.99567,99.74699,99.37822,100,100,97.12182,98.68324
k__Bacteria|p__Firmicutes,78.15305,76.74622,91.68641,81.36598,51.90043,87.327,45.77204,63.67083,67.36097,46.25279,55.79765,53.76398,52.94973,60.2686,62.28425,65.41384,61.88612,54.12328,91.23083,76.0982,88.05537,69.84883,56.70704,71.18149,82.01589,81.11557,76.68317,85.80259,71.90397,78.47651,71.81812,60.80444,82.34173,94.21247,83.33445,48.33599,31.05289,63.23444,75.39779,61.00952,64.27222,67.40788,83.31553,60.6998,79.58229,69.4197,83.69362,69.37182,63.73511,57.62051,83.24925,69.18507,58.66373,79.97414,69.34216,79.15459,77.67022,88.97102,89.53025,51.65338,76.21328,48.74166,56.1022,73.5337,82.17255,88.71177,59.64355,90.40286,71.04344,74.473,72.70893,57.51125,84.09116,67.86949,83.43006,86.74823,53.54734,56.87972,52.65365,34.34702,70.12495,72.60769,86.40688,61.36217
k__Bacteria|p__Bacteroidota,17.92827,19.68336,5.46314,7.75698,27.36978,9.63618,26.13508,22.46514,16.23025,43.98378,38.60659,36.50805,42.25638,35.34626,34.31777,11.37242,23.94735,30.40444,1.52018,12.24652,4.19167,17.69346,24.53627,18.09864,3.57399,5.53168,4.34222,10.1287,25.45147,17.51967,22.31638,30.27873,0.34112,3.80133,10.62732,44.03984,65.76863,16.14289,4.94261,30.88437,17.46235,30.12357,10.10702,30.74956,13.625,14.26354,8.7964,11.86984,20.93146,32.68162,4.75861,23.52071,20.92791,11.30262,24.64115,14.60388,16.21253,5.81298,3.95121,43.00812,15.18592,36.21018,0.41171,17.81131,6.23042,9.1206,36.62392,0.05833,22.36634,16.5727,15.91578,34.84689,11.86766,26.55565,10.60322,5.43256,43.41167,37.62281,13.29646,2.40212,5.36141,2.24823,1.81222,30.68155
k__Bacteria|p__Actinobacteria,2.13996,2.34593,2.23528,4.24586,17.84222,0.55862,2.07951,0.89156,1.18234,3.85322,1.89676,3.75987,2.29923,2.41773,1.07789,21.69591,11.92453,12.26954,1.74477,2.38081,3.92171,1.76593,3.16753,2.34945,9.91741,5.47306,3.43462,1.91273,0.63193,1.17336,3.98422,4.32185,12.04998,0.5896,0.94855,0.68798,0.66819,15.19623,14.61646,5.28951,14.57739,0.66014,2.33132,1.50052,2.18061,13.76259,2.10446,16.89341,12.44804,7.89526,10.86119,5.23469,19.52381,5.97355,3.23761,3.06222,2.83427,1.82211,4.88571,0.17948,0.75456,1.57599,40.65353,5.35867,8.09089,1.33757,0.75546,7.39021,3.3776,3.57459,3.48046,0.31653,1.27479,1.0191,4.99192,5.72104,0.58375,0.60277,23.82799,23.94721,4.67085,7.34579,2.14395,0.98996
k__Bacteria|p__Proteobacteria,1.20302,0.78134,0.2477,0.19412,0.7109,0.13446,0.69888,6.78377,9.84442,1.11266,1.30767,1.84866,0.92077,0.84232,1.16528,1.20802,1.79562,1.77629,0.31982,3.32145,0.32263,1.89052,1.90979,1.93009,0.05684,0.05379,0.06998,0.19164,0.73726,0.20978,0.50307,2.5242,0.02209,0.0827,1.08932,5.71498,2.04099,0.35646,0.22528,0.09077,0.06944,0.48568,1.10848,3.41927,2.91751,0.88199,2.0957,0.61306,1.02587,0.2613,0.32083,1.77806,0.76764,0.876,1.92061,1.14438,1.19736,0.27292,0.05773,3.06984,3.62642,7.36484,0.05381,0.55658,0.3519,0.40432,2.15758,0.49151,1.2578,0.63676,0.37946,6.49588,0.42056,0.3108,0.03056,0.1565,0.75917,0.75579,0.73771,0.42641,17.54108,15.76793,0.2057,0.3741
k__Bacteria|p__Candidatus_Melainabacteria,0.35974,0,0,0,0,0,0,0,0,0.28953,0.24756,0.06651,0,0,0,0,0,0,0.11681,0.05184,0.0059,1.67767,5.9747,0.49976,0,0,0.01254,0.0313,0.11533,0.00536,0,0,0,0.03468,1.3881,0,0,0,0,0,0,0,0,0,0.02291,0.05909,2.05662,0,0,0,0,0,0,0.13807,0.07658,0.62768,0,0,0,0,0,0,0,0,0,0,0,0,0.38703,2.7988,0.50759,0,0,0,0,0,0.54847,0,0,0,0,0,0,0.04672
k__Bacteria|p__Bacillota,0.1986,0.42677,0.36427,0.35089,1.17903,2.01191,0.11093,0.41692,0.17529,0.5104,0.56869,0.58876,1.51924,0.99457,1.08087,0.06625,0.03522,0.02562,0.24911,0.03981,0.04466,0.1969,0.9428,0.76219,0.82417,1.74344,1.21368,1.03762,0.64608,0.44721,0.89321,1.84295,4.76707,0.70536,0.28968,1.16571,0.44491,3.55212,4.04509,2.70919,3.6186,1.2568,3.06686,3.54938,0.04201,0.22135,0.15826,0.55594,1.10618,1.36197,0.34253,0.18662,0.041,0.6528,0.58435,0.44268,2.04734,3.00483,1.36182,1.28284,1.1458,1.27173,2.68115,1.88376,2.98019,0.12179,0.01067,0.62189,1.32507,1.80011,1.13914,0.76057,0.94411,0.90184,0.82983,1.84634,1.10029,1.74496,6.76595,11.85106,0.9146,1.64161,0.03873,0.14053
k__Bacteria|p__Bacteria_unclassified,0.01735,0.01638,0.0032,0.01264,0.01834,0.09826,0.00054,0.00893,0.0121,0.08229,0.06463,0.05575,0.05466,0.13052,0.06639,0.0176,0.06391,0,0.00045,0,0,0.01031,0.00437,0.01962,0.01098,0.05786,0.0409,0.01597,0.02503,0.0062,0.06903,0.14568,0.00434,0.03032,0.07026,0.04858,0.01878,0,0,0,0,0.06592,0.07078,0.08147,0.07143,0.04657,0.08978,0.11863,0.10357,0.11321,0.04093,0.08527,0.02105,0.04979,0.01061,0.04232,0.01769,0.02603,0.04304,0.02297,0.01864,0.02816,0,0,0,0.008,0.02321,0,0.01601,0.07026,0.01397,0.06888,0.02199,0.068,0.05447,0.0324,0.03576,0.02333,0.03809,0,0.11197,0.02933,0,0.02034
k__Bacteria|p__Bacteroidota|c__Bacteroidia,17.92827,19.68336,5.46314,7.75304,27.25728,9.63618,26.11581,22.4346,16.15337,43.98378,38.60659,36.50805,42.25638,35.34626,34.31777,11.37242,23.94735,30.40444,1.52018,12.24652,4.19167,17.69346,24.53627,18.09864,3.57399,5.53168,4.34222,9.8957,25.41655,17.50787,22.31638,30.27873,0.34112,1.1502,9.49566,44.03984,65.76863,15.47315,4.91818,30.85216,17.41242,30.12357,10.10702,30.74956,13.625,14.26354,8.7964,11.86984,20.93146,32.68013,4.75861,23.52071,20.92791,11.12764,23.68781,14.41236,16.09411,5.60441,3.20543,42.9365,15.10794,36.16177,0.41171,17.50165,6.17196,8.84952,36.50307,0.05098,22.36634,16.5727,15.91578,34.64553,11.46832,25.99012,10.60322,5.43256,43.41167,37.62281,13.29646,2.40212,5.36141,2.24823,1.81025,30.60571
k__Bacteria|p__Actinobacteria|c__Coriobacteriia,2.13996,2.339,2.23414,1.33851,0.92203,0.52503,1.55726,0.68319,0.94805,2.23508,1.23979,1.77159,1.63153,1.19531,0.6245,1.32314,1.85518,2.24523,1.59381,1.13372,3.59623,1.44304,0.67692,0.79846,9.71985,5.31961,3.32514,1.30849,0.4135,0.71558,1.51025,1.62384,3.44356,0.2614,0.53431,0.51709,0.13995,1.61856,3.26403,1.28265,1.62756,0.49975,1.54649,0.58996,1.76753,8.55397,1.88271,3.09206,1.69025,2.96763,7.45311,1.37008,14.02553,2.92485,1.03507,2.08895,1.71982,1.35038,3.26449,0.17948,0.74824,1.55922,0.4105,0.29835,0.2673,1.25672,0.72236,6.95461,2.35431,2.19034,2.7089,0.29965,1.00483,0.9014,2.2945,1.60361,0.57967,0.58877,1.69995,5.24258,4.49617,4.49994,2.11898,0.98996
