# Pathway	Li32124_S1_paired_Abundance-CPM	Li32125_S2_paired_Abundance-CPM	Li32126_S3_paired_Abundance-CPM	Li32127_S4_paired_Abundance-CPM	Li32128_S5_paired_Abundance-CPM	Li32129_S6_paired_Abundance-CPM	Li32130_S7_paired_Abundance-CPM	Li32131_S8_paired_Abundance-CPM	Li32132_S9_paired_Abundance-CPM	Li32133_S10_paired_Abundance-CPM	Li32134_S11_paired_Abundance-CPM	Li32135_S12_paired_Abundance-CPM	Li32136_S13_paired_Abundance-CPM	Li32137_S14_paired_Abundance-CPM	Li32138_S15_paired_Abundance-CPM	Li32139_S16_paired_Abundance-CPM	Li32140_S17_paired_Abundance-CPM	Li32141_S18_paired_Abundance-CPM	Li32142_S19_paired_Abundance-CPM	Li32143_S20_paired_Abundance-CPM	Li32144_S21_paired_Abundance-CPM	Li32145_S22_paired_Abundance-CPM	Li32146_S23_paired_Abundance-CPM	Li32147_S24_paired_Abundance-CPM	Li32148_S25_paired_Abundance-CPM	Li32149_S26_paired_Abundance-CPM	Li32150_S27_paired_Abundance-CPM	Li32151_S28_paired_Abundance-CPM	Li32152_S29_paired_Abundance-CPM	Li32153_S30_paired_Abundance-CPM	Li32154_S31_paired_Abundance-CPM	Li32155_S32_paired_Abundance-CPM	Li32156_S33_paired_Abundance-CPM	Li32157_S34_paired_Abundance-CPM	Li32158_S35_paired_Abundance-CPM	Li32159_S36_paired_Abundance-CPM	Li32160_S37_paired_Abundance-CPM	Li32161_S38_paired_Abundance-CPM	Li32162_S39_paired_Abundance-CPM	Li32163_S40_paired_Abundance-CPM	Li32164_S41_paired_Abundance-CPM	Li32165_S42_paired_Abundance-CPM	Li32166_S43_paired_Abundance-CPM	Li32167_S44_paired_Abundance-CPM	Li32168_S45_paired_Abundance-CPM	Li32169_S46_paired_Abundance-CPM	Li32170_S47_paired_Abundance-CPM	Li32171_S48_paired_Abundance-CPM	Li32172_S49_paired_Abundance-CPM	Li32173_S50_paired_Abundance-CPM	Li32174_S51_paired_Abundance-CPM	Li32175_S52_paired_Abundance-CPM	Li32176_S53_paired_Abundance-CPM	Li32177_S54_paired_Abundance-CPM	Li32178_S55_paired_Abundance-CPM	Li32179_S56_paired_Abundance-CPM	Li32180_S57_paired_Abundance-CPM	Li32181_S58_paired_Abundance-CPM	Li32182_S59_paired_Abundance-CPM	Li32183_S60_paired_Abundance-CPM	Li32184_S61_paired_Abundance-CPM	Li32185_S62_paired_Abundance-CPM	Li32186_S63_paired_Abundance-CPM	Li32187_S64_paired_Abundance-CPM	Li32188_S65_paired_Abundance-CPM	Li32189_S66_paired_Abundance-CPM	Li32190_S67_paired_Abundance-CPM	Li32191_S68_paired_Abundance-CPM	Li32192_S69_paired_Abundance-CPM	Li32193_S70_paired_Abundance-CPM	Li32194_S71_paired_Abundance-CPM	Li32195_S72_paired_Abundance-CPM	Li32196_S73_paired_Abundance-CPM	Li32197_S74_paired_Abundance-CPM	Li32198_S75_paired_Abundance-CPM	Li32199_S76_paired_Abundance-CPM	Li32200_S77_paired_Abundance-CPM	Li32201_S78_paired_Abundance-CPM	Li32202_S79_paired_Abundance-CPM	Li32203_S80_paired_Abundance-CPM	Li32204_S81_paired_Abundance-CPM	Li32205_S82_paired_Abundance-CPM	Li32206_S83_paired_Abundance-CPM	Li32207_S84_paired_Abundance-CPM
UNMAPPED	183066	162731	193228	189968	170401	162348	192567	217070	215689	171148	159787	170758	155763	156407	155952	169424	180084	176120	440648	409270	373466	260453	257025	224211	247760	235141	219419	237738	206571	241240	152349	163078	180785	166776	169080	171878	158737	196567	198059	190419	197256	158164	200640	165225	158585	166822	204390	167893	165377	160301	176238	153979	178364	237710	175732	252187	166284	171932	172019	150865	204865	196702	161268	180399	175032	183589	161644	194181	171691	166816	175438	147307	163970	159560	169194	167813	167205	196987	171585	171909	141102	190016	218311	243089
UNINTEGRATED	762295	780138	750307	753397	776747	789161	755045	733596	734400	777120	788908	777494	794669	793153	795127	763350	755311	760949	522112	552249	583708	694744	696741	728074	701297	713564	730354	712281	744683	711067	797857	788821	762690	778368	775140	776418	792391	747902	739512	757351	748255	796765	743033	782636	786925	771898	741696	771125	779368	786862	761299	782890	761113	710167	771788	699178	780566	773040	763986	796316	742834	753059	769630	765020	766519	761290	791954	742040	775496	778918	767185	798135	779448	790375	775590	774118	783162	756183	769576	768500	789899	749158	727796	703335
1CMET2-PWY: folate transformations III (E. coli)	493.217	529.257	529.018	495.727	396.962	432.058	495.653	346.991	319.983	445.101	421.154	441.248	387.929	403.843	392.779	550.63	514.485	541.087	327.472	325.515	306.558	399.137	376.573	382.57	468.887	456.223	490.372	481.06	473.772	454.747	430.385	429.467	515.096	488.815	507.034	492.022	488.836	418.713	471.495	422.458	405.604	300.619	405.679	365.415	376.03	486.948	436.397	381.556	388.415	399.677	407.592	456.915	406.194	436.194	445.376	439.297	394.809	410.768	451.033	467.176	447.711	476.151	441.808	440.677	493.684	436.638	395.972	486.174	428.646	433.545	447.379	457.863	481.116	419.264	440.493	437.591	430.685	407.712	455.927	574.473	347.111	317.762	470.526	519.522
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0	0	0	0.253125	0.749626	0	0	7.9551	0	0	0.270033	0	0	0	0	0.708844	1.3655	0.525267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.581106	0	0	0	0.767389	0.345242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156382	0	2.38821	0	0	0	0.90059	0	0	0	0	0	0	4.38755	0.472011	67.6562	82.6682	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	0	0	0.292648	0.319104	0	3.14115	0	0	0	0	0	0	0	0	0	0.643696	2.12231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.365175	0.806749	0	0	0	0	0	0	0	0	0	0	0.711328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.97236	3.56996	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0	1.72807	0	0	1.50583	0	7.85539	0	0	0	0	0	0	0	0	11.1623	13.4538	13.1063	0	0	0	0	0	0	0	0	0	0	0	0	10.7464	8.69432	0	0	0	4.24155	6.01481	2.09029	4.04382	3.44799	0.729586	4.40409	10.3246	6.2102	1.48848	4.49419	4.43128	7.88453	5.0281	3.84492	4.64969	6.94278	8.41042	8.84817	6.60754	3.85629	0.447825	0	0	0	0	0	0	0.536062	0	1.46435	0	1.47672	0	0	0	0	0	0	0.228204	0	0	0	10.6153	1.71854	2.58182	7.4488	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	93.6494	214.05	74.5306	227.039	252.907	65.4537	159.176	233.867	240.098	203.857	201.809	141.392	244.607	202.306	236.075	379.924	365.595	263.979	131.132	164.444	211.153	108.521	163.433	138.865	122.301	151.442	109.85	127.646	118.838	223.436	186.857	175.456	238.977	72.9255	73.2992	213.085	188.46	309.241	346.11	179.093	287.66	138.436	239.462	252.348	158.552	160.324	112.873	319.52	258.758	210.634	415.49	354.378	358.947	158.557	161.611	150.145	222.426	134.926	134.574	235.913	154.354	205.215	547.55	171.096	239.456	151.629	155.645	209.147	123.387	94.2583	202.74	263.881	148.753	199.7	157.65	157.262	238.705	136.747	348.631	320.917	323.612	277.098	141.288	125.367
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	581.822	605.785	670.675	593.525	404.79	540.358	408.457	362.714	367.967	487.371	479.882	492.451	450.331	460.051	457.776	669.094	637.827	616.727	436.103	351.403	443.543	451.342	499.588	547.824	621.242	607.653	574.2	603.104	564.82	479.842	483.101	465.264	621.235	648.847	639.769	534.145	508.531	511.092	636.064	510.27	479.742	482.886	561.664	519.477	508.633	619.183	547.562	559.875	523.078	508.243	559.491	561.485	534.747	558.388	564.105	519.006	543.001	618.609	712.055	517.606	553.173	488.749	721.4	570.282	669.777	554.514	453.485	681.388	540.161	576.264	633.234	561.314	639.678	513.48	625.56	673.067	473.643	465.257	523.92	541.124	415.84	385.812	637.609	617.075
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	70.1047	60.2264	67.4347	44.287	35.1223	23.9742	44.0545	123.211	99.154	77.1713	97.0471	86.8274	45.8522	40.1844	62.0109	45.4706	88.0119	66.4785	71.6013	95.963	58.5857	32.815	43.115	51.7895	57.1077	69.9449	64.1592	47.2931	88.3889	39.7435	60.5121	31.6054	7.41923	60.2881	57.6223	25.8433	11.028	94.6452	66.1979	54.6921	104.99	53.7378	65.4784	42.7086	113.091	63.1555	132.301	73.9647	50.1331	43.015	44.396	65.4784	82.2232	108.163	86.5191	100.386	67.7437	63.5164	54.0726	67.5152	51.9551	22.7274	23.8741	44.6939	69.136	85.449	55.4951	47.8873	55.7352	38.238	42.7163	77.4049	42.3595	48.2388	71.8287	64.0653	68.2601	96.8819	71.7538	37.0633	277.142	230.714	55.9446	64.3403
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	170.879	179.231	65.9527	58.3386	201.13	94.2583	229.789	129.693	108.074	240.739	239.334	207.194	227.614	205.45	197.188	96.7214	131.594	188.242	13.2156	65.2361	30.5426	72.3121	59.9088	80.2902	32.2355	39.039	34.0811	28.3746	61.4016	52.7651	151.52	182.805	3.3367	13.1395	76.8208	204.642	256.989	108.72	23.6864	46.5114	33.1338	68.2497	97.881	196.576	118.679	99.4565	66.3913	109.369	149.589	204.346	47.7627	155.785	158.488	83.9153	193.125	103.579	147.041	69.446	47.8058	241.417	70.4288	146.927	4.83465	125.888	49.4202	65.4944	213.589	13.5908	171.391	112.951	134.236	236.964	90.3553	182.87	81.1995	62.6495	243.235	187.496	78.743	25.7014	132.459	68.9312	2.76459	28.7606
