Species	Li32124_S1d_metagenome	Li32125_S2d_metagenome	Li32126_S3d_metagenome	Li32127_S4d_metagenome	Li32128_S5d_metagenome	Li32129_S6d_metagenome	Li32130_S7d_metagenome	Li32131_S8d_metagenome	Li32132_S9d_metagenome	Li32133_S10d_metagenome	Li32134_S11d_metagenome	Li32135_S12d_metagenome	Li32136_S13d_metagenome	Li32137_S14d_metagenome	Li32138_S15d_metagenome	Li32139_S16d_metagenome	Li32140_S17d_metagenome	Li32141_S18d_metagenome	Li32142_S19d_metagenome	Li32143_S20d_metagenome	Li32144_S21d_metagenome	Li32145_S22d_metagenome	Li32146_S23d_metagenome	Li32147_S24d_metagenome	Li32148_S25d_metagenome	Li32149_S26d_metagenome	Li32150_S27d_metagenome	Li32151_S28d_metagenome	Li32152_S29d_metagenome	Li32153_S30d_metagenome	Li32154_S31d_metagenome	Li32155_S32d_metagenome	Li32156_S33d_metagenome	Li32157_S34d_metagenome	Li32158_S35d_metagenome	Li32159_S36d_metagenome	Li32160_S37d_metagenome	Li32161_S38d_metagenome	Li32162_S39d_metagenome	Li32163_S40d_metagenome	Li32164_S41d_metagenome	Li32165_S42d_metagenome	Li32166_S43d_metagenome	Li32167_S44d_metagenome	Li32168_S45d_metagenome	Li32169_S46d_metagenome	Li32170_S47d_metagenome	Li32171_S48d_metagenome	Li32172_S49d_metagenome	Li32173_S50d_metagenome	Li32174_S51d_metagenome	Li32175_S52d_metagenome	Li32176_S53d_metagenome	Li32177_S54d_metagenome	Li32178_S55d_metagenome	Li32179_S56d_metagenome	Li32180_S57d_metagenome	Li32181_S58d_metagenome	Li32182_S59d_metagenome	Li32183_S60d_metagenome	Li32184_S61d_metagenome	Li32185_S62d_metagenome	Li32186_S63d_metagenome	Li32187_S64d_metagenome	Li32188_S65d_metagenome	Li32189_S66d_metagenome	Li32190_S67d_metagenome	Li32191_S68d_metagenome	Li32192_S69d_metagenome	Li32193_S70d_metagenome	Li32194_S71d_metagenome	Li32195_S72d_metagenome	Li32196_S73d_metagenome	Li32197_S74d_metagenome	Li32198_S75d_metagenome	Li32199_S76d_metagenome	Li32200_S77d_metagenome	Li32201_S78d_metagenome	Li32202_S79d_metagenome	Li32203_S80d_metagenome	Li32204_S81d_metagenome	Li32205_S82d_metagenome	Li32206_S83d_metagenome	Li32207_S84d_metagenome
s__Blautia_wexlerae	10.90669	11.77111	22.12864	5.13146	2.76662	3.54493	0.2624	0.35211	0.45898	9.70852	7.43107	11.59663	2.59536	2.8231	2.11342	8.75579	5.58308	5.63569	0.01527	0.00245	0	1.43738	0.33628	1.12702	4.6153	4.40353	7.42117	1.70189	0.78826	3.23557	5.31331	5.54078	10.47872	8.99748	6.0352	3.47989	1.35127	1.00792	1.39688	1.35854	1.10097	2.11853	1.90823	0.60939	8.69944	8.10763	5.0147	1.72787	1.39452	0.9574	3.69447	2.14413	0.25552	1.98879	0.67991	4.07516	3.39375	4.67344	3.77275	3.61493	1.4404	1.98281	3.01336	2.42529	3.88565	6.55223	3.3414	11.20748	7.71979	8.78075	5.60349	1.99765	11.41753	6.9493	2.15472	3.76522	1.03944	1.84767	1.86722	11.60589	2.7344	7.22391	5.59802	5.12753
s__Gemmiger_formicilis	9.84504	7.69515	5.08385	1.75011	1.64584	0.8787	0.0448	0.12436	0.19891	0	0	0	2.87205	3.523	2.80494	0	0	0	0.00194	0.0031	0	1.19422	2.37745	2.83216	1.35511	1.69644	0.56304	1.86925	0.70032	0	0.1897	0.02194	0.51319	0.96357	0.85907	0.00487	0.17923	0.8109	1.67422	0.91349	1.542	1.56377	1.9976	0.87091	0	0	0	6.05159	3.47305	3.39718	2.13111	1.41095	2.44608	1.68184	0.94093	1.60526	1.38283	1.12573	4.86095	0.55813	0.14173	0.02599	0.14548	0	0.00401	2.33629	0.90761	0.17937	3.18008	2.21971	4.42605	0.01082	0.59184	0.65346	2.83641	2.49992	2.96149	1.91613	0	0	1.1658	0.89892	0	0
s__Bacteroides_stercoris	8.01773	6.96327	2.13582	0	0	0	0.00087	0	0	0	0	0	0	0	0	0.39488	2.49894	1.09609	0.05896	0.00334	0	0.07634	0.23658	0.25833	0	0	0	0	0	0	0	0	0	0.07273	4.69899	0	0	0.30416	0.12114	0.34425	0.22614	0.79332	1.20934	5.3769	2.92163	4.09203	3.50517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.20657	0.9293	0	0	0	0	0	0
s__Anaerostipes_hadrus	6.91796	8.77748	9.36259	2.58494	3.05771	0.30148	0.37298	0.14058	0.47918	0	0.5021	0.60667	1.21067	2.36595	1.6475	4.53857	6.8518	4.32662	2.11018	1.33598	4.57852	0.77545	2.20984	4.35009	3.74841	2.9868	1.09845	1.03161	3.90021	0.6416	1.65208	0.98017	1.33208	3.34502	2.78685	1.25396	1.047	1.26273	0.72518	0.26738	1.65202	0.84559	1.38417	1.63844	1.53629	6.58401	0.03534	1.97938	1.11588	1.11171	0.62747	4.58794	1.26983	0.39642	1.80759	0.57797	2.17061	0.77917	1.00092	2.36401	1.82356	1.35325	3.40833	0.66119	1.52209	3.09571	1.60187	8.97092	5.16454	5.21944	6.32243	3.27453	10.14423	1.96749	4.10061	7.07872	1.52795	0	0.6647	0.0009	0.4319	0.71786	1.8441	2.32966
s__Faecalibacterium_prausnitzii	6.63342	4.00504	4.50041	1.68889	7.07771	18.1539	0.41327	3.7987	2.65	2.68689	7.14702	3.6989	3.84823	7.33097	4.05849	8.61387	4.4493	5.23286	0.20733	0.00064	0	2.26058	4.12155	6.94028	0.78573	0.66975	4.48682	4.14432	1.69002	8.8996	2.07604	1.49596	5.08097	4.49453	2.7325	0.0066	0	5.06196	5.22278	7.23416	9.12078	11.66161	6.06948	9.50648	17.16406	7.1127	9.24118	8.55322	7.35527	9.78971	10.47005	11.79419	1.83395	4.14499	10.73889	1.74375	13.86153	14.56474	18.11652	4.6921	8.27011	6.64496	3.90619	8.77734	8.24981	6.1775	2.08447	0.115	10.02978	16.46499	13.06471	17.04617	7.54223	11.1991	11.42008	19.41125	4.10582	6.5991	4.32637	4.19446	2.2881	1.97568	13.51763	12.52105
s__Phocaeicola_vulgatus	5.10116	5.23683	0.92267	1.00799	3.47313	3.53485	1.76879	1.42907	1.1995	6.38791	11.08911	10.71307	6.69681	8.78883	6.99811	1.49268	1.0867	1.76827	0.0656	0.4056	0.16301	1.36465	0.76055	1.21832	0.23797	0.57367	0.72114	0.03769	0.06454	0.25392	6.59417	10.44488	0.09876	0.10682	0.37106	0.00022	0	2.29463	0.35136	0.55876	0.43001	2.83606	2.89633	4.46349	7.44204	1.68722	1.90426	0	0	0	0.62997	9.85413	2.71271	0.69297	1.05028	0.89275	2.9931	1.39657	0.42738	13.10609	2.46744	2.47349	0.11466	5.47467	1.82596	2.31968	3.37319	0.00739	0	0	0	0.00043	0	0	1.67341	1.75148	2.38751	3.95831	1.28134	0.09293	0	0	0	0
s__Ruminococcus_bicirculans	3.22394	1.25609	1.20873	3.89708	0.43602	0	0.0289	0.13399	0.13428	0	0	0	0	0	0	0	0	0	0.01746	0	0	0	0	0	0	0	0	0.02765	0.61375	0	0	0	1.68413	0.42245	3.48232	0	0	0	0	0	0.01492	0	0	0.91603	0.20616	1.48783	1.51828	1.00636	1.11764	0.05474	0	0	0	1.66891	0.12941	0.0575	0.40265	3.69124	1.38726	3.52098	7.55559	2.13054	0.00214	0.00481	0.00128	0	0	0	0	0	0	0.45314	0.46228	0.54168	0.06939	1.01384	0	0	0.95298	0	6.41745	1.00684	0	0
s__Blautia_glucerasea	3.21985	1.39855	3.94441	0.56331	0.15106	1.3964	0.07607	0.02457	0.44514	0.03812	0.06284	0.08418	0	0	0	0	0	0	0.01034	0	0	0.56143	1.21639	3.00177	0.04742	0.02941	0.10221	0.57178	0.12724	1.00209	0.00573	0.01811	0.01624	0.92192	1.53056	0.06338	0.01172	0.08837	0.11428	0.08626	0.12892	0.06078	0.17401	0.02275	0.08637	0.0451	0.09787	0.07144	0.03837	0.01878	0	0	0	0.26851	0.17134	0.46463	0.11618	0.13557	0.14858	0.57552	0.5385	0.09677	0.19333	0.22577	0.17539	0.86506	0.36397	0.42043	0	0	0	0	0.07591	0.10036	0.98802	1.04692	0.29754	0.25549	0.0707	0.22982	0.2267	0.07329	1.14241	1.26656
s__Bacteroides_uniformis	2.51461	4.41241	1.05335	1.87977	8.87743	1.64796	0.41107	7.97749	4.53938	6.30687	5.61792	2.01879	14.76423	8.16686	11.62199	1.10079	3.05257	2.18568	0.02865	0.1511	0.06783	1.34729	0.8023	2.61266	0.63062	0.96204	0.54502	0.47782	1.53861	0.95372	6.57642	6.70011	0.07652	0.39066	0.10392	0.00126	0	1.89835	0.16917	0.1671	0.21832	2.18541	3.14327	6.23241	0.55834	3.13601	0.25907	5.66922	7.4032	6.38542	2.5619	3.43673	9.60604	0.81464	4.10259	2.84764	5.87856	2.08178	1.4668	5.59583	0.52819	3.54734	0.1458	3.38781	0.91151	1.25284	1.95137	0.00607	3.88732	2.14216	7.41599	12.73926	3.85628	7.97299	1.97362	1.09354	10.5147	4.00503	1.25752	0.19136	1.47071	0.36114	0.06118	1.55422
s__Fusicatenibacter_saccharivorans	2.26587	4.56315	1.84076	0.96116	1.12132	0	0.03706	0.24862	0.41046	0.89792	1.64603	1.96139	2.56324	1.63556	1.06643	0	0	0.0082	0.11378	0.02482	0.05404	0.28061	0.73461	1.21033	3.09231	4.36832	3.31141	0.52498	1.07331	0.55239	0.98033	1.02613	2.09815	2.01319	1.29494	0.50634	0.28775	0.70262	1.37438	0.50653	0.58206	1.2696	1.71245	1.61254	11.57223	3.55137	3.38877	2.84213	2.2005	2.43943	1.39906	2.42386	1.37796	1.28673	0.36148	0.59478	3.98955	4.24621	6.5826	0.83107	0.45706	0.71962	4.5751	2.51871	2.92077	2.92726	1.34771	2.55563	3.12321	6.91266	6.00111	1.23836	8.04712	4.47294	4.05744	3.8996	1.45958	0.75348	2.13663	0.00122	0.74309	0.20237	0	0
