feature,metadata,value,coef,stderr,N,N.not.0,pval,qval
s__Roseburia_lenta,Diets,Prebiotic,4.166633658,0.694011272,84,19,5.04E-08,6.44E-05
s__Faecalimonas_umbilicata,Diets,Prebiotic,-3.153536517,0.608082219,84,23,1.52E-06,0.000970555
s__GGB3256_SGB4303,Diets,Prebiotic,3.577704547,0.754635311,84,20,8.85E-06,0.003248122
s__GGB3175_SGB4191,Diets,Prebiotic,3.891273237,0.827095172,84,22,1.02E-05,0.003248122
s__GGB9480_SGB14874,Diets,Prebiotic,-3.815629677,0.845817564,84,22,2.13E-05,0.005438875
s__Clostridium_SGB4750,Diets,Prebiotic,3.146693092,0.723112472,84,52,3.87E-05,0.007236717
s__Holdemania_sp_1001095H_141210_F2,Diets,Prebiotic,2.111440958,0.485978506,84,22,3.97E-05,0.007236717
s__Eisenbergiella_tayi,Diets,Prebiotic,-3.334804127,0.785066787,84,48,5.67E-05,0.009043225
s__Clostridium_sp_AF20_17LB,Diets,Prebiotic,2.672721644,0.657302918,84,38,0.000109133,0.015484701
s__GGB41458_SGB58520,Diets,Prebiotic,2.625815514,0.657043307,84,10,0.000139791,0.017851345
s__Blautia_glucerasea,Diets,Prebiotic,2.409997679,0.607320383,84,69,0.000154373,0.017921336
s__Eubacterium_callanderi,Diets,Prebiotic,-1.684614015,0.434678929,84,19,0.000213386,0.02270781
s__Bacteroides_finegoldii,Diets,Prebiotic,4.048766265,1.053133405,84,22,0.000237575,0.023337201
s__Clostridium_leptum,Diets,Prebiotic,-2.423999947,0.656062011,84,78,0.000395899,0.031597686
s__GGB3496_SGB4671,Diets,Prebiotic,-2.124469211,0.572588818,84,15,0.000375706,0.031597686
s__Alistipes_timonensis,Diets,Prebiotic,1.279533808,0.34513612,84,10,0.000379477,0.031597686
s__Eubacterium_sp_AF16_48,Diets,Prebiotic,2.221529946,0.620024214,84,34,0.000575039,0.043195566
s__Clostridiales_bacterium_KLE1615,Diets,Prebiotic,1.997751441,0.561595565,84,70,0.000625927,0.044406008
s__GGB3486_SGB4658,Diets,Prebiotic,2.559531283,0.726166951,84,20,0.000696558,0.046816046
s__GGB5980_SGB8599,Diets,Prebiotic,0.906571951,0.26044197,84,9,0.000803563,0.051307495
s__GGB9347_SGB14313,Diets,Prebiotic,1.381704018,0.403271382,84,10,0.000958871,0.058308483
s__GGB9635_SGB15106,Diets,Prebiotic,2.507176034,0.753037369,84,14,0.001305609,0.075784646
s__Clostridium_sp_AM33_3,Diets,Prebiotic,2.681034394,0.815674655,84,43,0.001492523,0.080273933
s__Ruminococcus_torques,Diets,Prebiotic,-2.9083984,0.885773469,84,72,0.001508672,0.080273933
s__GGB3433_SGB4573,Diets,Prebiotic,-2.056838935,0.648783121,84,36,0.002141765,0.091188149
s__Ruthenibacterium_lactatiformans,Diets,Prebiotic,-1.23425059,0.387784547,84,84,0.002061099,0.091188149
s__Massiliimalia_timonensis,Diets,Prebiotic,-2.17146617,0.687279725,84,58,0.002213651,0.091188149
s__Lawsonibacter_hominis,Diets,Prebiotic,-1.754340032,0.553413284,84,35,0.002143515,0.091188149
s__GGB9707_SGB15229,Diets,Prebiotic,1.345116951,0.423267428,84,28,0.00209225,0.091188149
s__Clostridia_bacterium,Diets,Prebiotic,-2.128713958,0.665708875,84,20,0.001969188,0.091188149
s__Clostridia_bacterium_UC5_1_1E11,Diets,Prebiotic,-1.81685761,0.565892873,84,22,0.001892191,0.091188149
s__Blautia_hydrogenotrophica,Diets,Prebiotic,-2.213335017,0.704137938,84,41,0.002325651,0.092357814
s__Blautia_hansenii,Diets,Prebiotic,-1.500472358,0.47864864,84,12,0.002386694,0.092357814
s__Bacteroides_salyersiae,Diets,Prebiotic,1.400153881,0.450797627,84,15,0.002604853,0.097835198
