Metabolites,Placebo_M0_OA05,Placebo_M0_OA06,Placebo_M0_OA09,Placebo_M0_OA10,Placebo_M0_OA13,Placebo_M0_OA20,Placebo_M0_OA23,Placebo_M0_OA24,Placebo_M0_OA25,Placebo_M0_OA29,Placebo_M0_OA33,Placebo_M0_OA34,Placebo_M0_OA36,Placebo_M0_OA37,Placebo_M0_OA45,Prebiotic_M0_OA01,Prebiotic_M0_OA04,Prebiotic_M0_OA08,Prebiotic_M0_OA12,Prebiotic_M0_OA19,Prebiotic_M0_OA22,Prebiotic_M0_OA26,Prebiotic_M0_OA28,Prebiotic_M0_OA30,Prebiotic_M0_OA35,Prebiotic_M0_OA39,Prebiotic_M0_OA40,Prebiotic_M0_OA50,Placebo_M3_OA05,Placebo_M3_OA06,Placebo_M3_OA09,Placebo_M3_OA10,Placebo_M3_OA13,Placebo_M3_OA20,Placebo_M3_OA23,Placebo_M3_OA24,Placebo_M3_OA25,Placebo_M3_OA29,Placebo_M3_OA33,Placebo_M3_OA34,Placebo_M3_OA36,Placebo_M3_OA37,Placebo_M3_OA42,Placebo_M3_OA45,Prebiotic_M3_OA01,Prebiotic_M3_OA04,Prebiotic_M3_OA08,Prebiotic_M3_OA12,Prebiotic_M3_OA19,Prebiotic_M3_OA22,Prebiotic_M3_OA26,Prebiotic_M3_OA28,Prebiotic_M3_OA30,Prebiotic_M3_OA35,Prebiotic_M3_OA39,Prebiotic_M3_OA40,Prebiotic_M3_OA50,Placebo_M6_OA05,Placebo_M6_OA06,Placebo_M6_OA09,Placebo_M6_OA13,Placebo_M6_OA20,Placebo_M6_OA24,Placebo_M6_OA25,Placebo_M6_OA29,Placebo_M6_OA33,Placebo_M6_OA34,Placebo_M6_OA36,Placebo_M6_OA37,Placebo_M6_OA44,Prebiotic_M6_OA01,Prebiotic_M6_OA04,Prebiotic_M6_OA08,Prebiotic_M6_OA12,Prebiotic_M6_OA19,Prebiotic_M6_OA26,Prebiotic_M6_OA28,Prebiotic_M6_OA30,Prebiotic_M6_OA35,Prebiotic_M6_OA39
10-HYDROXYDECANOATE,157118.8,111797.62,179389.48,170118.48,169356.52,135782.08,212617.89,111458.82,116826.4,146869.42,152149.28,94583.96,95975.06,217325.61,160474.27,164070.64,75690.62,137169.11,186402.33,113814.59,166683.81,305057.41,199319.14,135582.08,138891.11,341394.66,151192.27,164133.27,159445.36,131927.17,86283.95,177433.95,113765.66,177844.83,141479.69,151301.17,144150.58,140196.81,149034.11,127002.15,127719.38,161235.16,131908.83,123507.95,251295.45,231644.67,120712.13,130798.09,78355.51,138679.59,198112.08,176507.92,90082.4,185785.25,202158.5,183442.42,191873,88979.72,124853.8,88741.44,200838.05,184879.38,146994.83,141419.73,144074.69,254120.23,134749.55,201717.2,119289.25,243892.67,181098.45,99443.27,120024.4,100511.25,186032.06,257281.95,143218.72,149883.73,226524.73,256692.77
3-[2-HYDROXYPHENYL]PROPANOATE,24543.45,74578.55,105686.3,272768.47,994477.69,34550.45,506168.16,63297.09,500146.47,392242.09,42593.31,12638.9,8919.26,2760088,245632.62,128711.32,34887.61,291073.91,77940.93,340790.28,3976.4,97808.88,228346.17,178848.39,164074.48,128022.44,106422.57,48106.55,49447.79,56714.69,263900.44,87461.85,71712.01,53137.67,194578.44,29113.21,554276.25,173989.11,207487.56,51684.07,43348.03,339779.41,957061.69,169909.36,92912.74,17422.06,251772.52,76607.95,637019.56,44365.2,572621.62,342851.47,255483.55,189956.92,171631.25,65361.44,48217.3,20538.1,14372.98,90000.19,109672.12,61257.09,276067.09,831223.69,234675.8,54868.95,51195.56,69169.64,769289.19,415148.09,242010.61,29892.21,426527.97,102417.48,800496.69,753556,991397.06,47325.17,231575.88,387768.09
3-HYDROXY-3-METHYLGLUTARATE,4714461.5,4422024,5343325.5,5003907.5,4474390,5646764,4993792,4776656.5,4287712,4277216.5,4497204,4560150,4297224,4934454.5,3891864,5096677,5460025,4502349,5220403,4910472,4271649.5,4444530,4220036.5,4732896,5607920,4425256,4458358,4457898,4497471.5,4010449.75,6583530,4028445.75,4510051.5,5334833.5,4670562,4602056.5,5569989.5,4740882.5,4689718,4549404.5,4102696.75,4933798.5,4838962.5,4813774.5,4509517.5,4941931.5,4705007.5,4720002,4486148,4105921.25,4346296,5060192,4358126,5409909.5,4761948,6374192,5419974.5,4803984.5,4509004.5,6203782,5126058,5548291.5,4556329.5,4645452,4937907.5,4745703.5,4661569,4688962,4945631.5,5758007.5,4615136,6053170,5077775.5,4180542,4393924,4765680.5,4462923.5,5159757.5,4874466.5,4491237.5
3-HYDROXYBUTANOIC ACID,1221038.12,700213.44,2609441.25,605613.81,805177.81,467836.09,5509141,425932,327557.22,1228143.62,1364218.38,425312.34,698682.19,1384399.88,1390784.5,473008.09,418689.59,731950,732088.06,479064.16,2102377,1441982.62,1989997,804404.19,734219.06,6464162.5,508826.28,3555543.25,1020813.69,831339.94,1485909.38,1391616.5,635748.12,931197.75,2102724.25,526759.94,330194.66,443429.38,1637627.88,518396.09,660884.75,829305,498658.62,1572063.38,1049056.5,1420086.38,524548.56,630912.44,439451.28,480025.16,651403.12,920960.31,571119.94,698057.81,2329737.75,451485.53,1163998.5,333217.69,721305.81,1143347.38,711063.06,1223975.38,388927.12,393930.03,912111.19,2082774.88,501262.09,894490.25,729549.69,582272.44,1049203.38,865293,708556,516850.88,1500500.12,2528930.75,615730.44,600187.44,1283350.25,1525198.12
3-HYDROXYPHENYLACETATE,32706.88,23437.36,277068.19,395844.09,24537.62,22612.8,22848.12,28103.29,424665.34,54112.05,75301.12,24730.68,22660.58,50232.31,105224.37,35148.84,60618.03,846359.31,116244.56,29244.62,139970.23,179854.27,34510.24,26419.53,62555.18,501365.59,39576.56,28239.39,58990.74,35932.47,52238.59,51746.54,23655.64,16787.16,60352.36,18649.31,539070.75,78640.95,39205.05,735055.56,32779.52,1716126.12,138092.19,121411.1,17839.32,18881.48,579361.88,44051.29,43914.38,134992.23,239025.92,32506.5,36579.83,180964.42,1624838.12,54009.39,18207.64,33290.11,37594.64,50657.29,58136.04,44131.36,69934.4,686625.31,67648.62,22110.03,35272.18,35529.82,105744.66,64942.05,24145.72,43754.78,43459.25,79892.98,390535.47,204213.7,46492.52,30714.31,89010.87,1377207.5
4-METHYL-2-OXO-PENTANOIC ACID,654589.94,443369.66,914055.5,788290.44,774204.5,669942.31,1115536.12,587227.31,734550.94,571349.56,858317.06,516788,928778.81,954547.06,479347.91,730604.94,703144.75,775915.06,796299.31,495204.5,552877.94,700052.69,1064331.62,937897.81,594755.94,924449.56,735510.44,838004.69,893643,473152.22,1032180.81,788975,806597.31,842955.19,1118015,1013986.5,545029.94,508435.5,689853.94,551022.31,880351.69,956399.06,970297.31,777550,757571.31,737088.25,604786.75,802745.25,605152.06,591472.31,839919.5,1007014.5,826219.56,614863.69,877093.31,1134168.12,1730521.12,747007.19,472599.75,949273.69,877800.25,783933.75,592003.06,795815.31,634345.31,694228.94,562075,1158823.62,877957.31,358863.66,836750.44,1033748.5,1001110.19,709982,1172978.75,936178.69,870826.19,861965.81,660537,746376.94
4-METHYLCATECHOL,226176.64,14547.78,59786.25,109091.07,80599.65,79342.24,58993.57,27307,110697.28,69824.07,57284.61,39111.54,5570.43,133422.98,74054.55,45889.64,54512.48,46475.04,127645.77,82765.71,43597.55,56113.09,83604.59,133624.98,35229.2,37368.03,7686.59,113016.41,32875.7,43969.14,91009.81,54591.14,83090.49,108801.95,75935.83,11304.93,116662.72,19486.75,97084.27,29033.23,8601.7,121878.15,50768.55,79669.05,15294.65,36952.35,111635.41,64806.07,133624.45,94042.6,35742.89,53905.34,107557.38,44363.25,55679.54,29639.58,142933.69,42286.38,26699.53,121929.53,79219.73,109504.98,9057.48,81342.59,75396.99,47471.75,126708.1,15583.66,174408.64,110943.34,103668.97,87235.59,107664.19,103701.19,121028,63591.36,86911.57,95109.29,58741.2,64757.52
5-OXO-D-PROLINE,1285883.38,745938.56,733180.69,899444.19,781576.81,1297089.12,857878.75,500680.34,784947.81,784342.5,695017.69,732968.19,773535.19,840147.81,533093.19,798346.69,977576.31,1093207.88,974953.5,1328086.25,627162.06,668955.19,966710.81,959304.44,779293.31,1107092.75,757395.31,776192.56,1114085.12,876395.25,891043.25,1191680.12,992147.31,865980.81,684919.94,532262.62,881291.75,1054062,656105.5,778396.5,1165403.38,832043.56,892425.31,627243.94,973445.31,1048354.69,987893.69,976639.25,1502700,1215863.62,1006481.25,1030963.44,969125.44,772853,825467.69,721453.69,852271.81,1266294.12,530068.25,1025996.25,1520936.12,1400524.12,972833,876281.19,1720075.62,685209.56,819674,729305.19,881179.31,853758.69,715700,1078333,1051361.12,934763.44,1776372.88,838007.75,970752.56,1116046.38,877881.25,844455
6-CARBOXYHEXANOATE,41941.31,31081.23,36602.68,37275.08,54879.98,63790.39,87663.4,96166.99,34384.23,31112.61,50780.88,22069.12,33312.79,61455.39,54024.11,19479.79,30032.66,82452.05,72412.49,73401.65,29356.64,55918.64,47158.26,52227.77,71649.12,96973.63,45573.56,66009.55,30409.98,46022.55,43797.83,38028.64,45774.89,44427.39,57937.48,40067.56,90623.25,84062.09,83532.39,64228.31,98464.71,94211.18,91436.77,91625.98,31135.18,40774.28,101450.45,52665.99,77078.91,42910.99,67635.23,50823.94,79443.62,132982.67,101414.18,57504.59,139306.92,78254.15,65629.4,102473.59,193173.58,216835.58,285814.84,240494.56,1577211,150763.23,277398.91,232001.88,171964.48,102302.03,69852.75,56941.57,121740.9,215194.31,237424.27,171402.31,186252.95,130391.5,184070.8,135120.09
6-DEOXY-L-GALACTOSE,7490.61,1175.94,2641.68,4157.62,1649.09,3631.64,10386.46,1721.33,2748.06,3659.94,1216.79,2073.57,2128.89,4476.61,2707.46,1992.89,1841.11,2373.68,5639.48,4847.65,2032.97,2445.48,1735.66,3033.18,4016.61,6870.44,2392.78,1371.2,4259.68,3332.05,8934.73,3068.73,2322.37,1584.43,3523.16,1626.13,4492.96,4140.28,4397.94,3352.88,2891.71,1671.47,5095.28,5029.64,3094.04,1576.51,4327.76,2605.69,4451.79,13137.65,2679.24,5793.57,3932.02,5033.19,4710.22,1326.66,2579.29,6508.9,1067.43,4989.69,2011.77,6622.26,1592.77,3981.55,2819.55,2423.96,1622.04,1899.59,1351.52,4620.73,5129.18,3398.36,4385.72,2712.83,5217.21,2706.83,4626.65,3201.33,2331.05,5016.59
