Sample_Name,alginate,alpha-galactan,alpha-glucan,alpha-mannan,alpha-rhamnoside,arabinan,arabinogalactan,arabinogalactanprotein,beta-fucosides,beta-galactan,beta-glucan,beta-glucuronan,beta-mannan,carrageenan,cellulose,chitin,chitosan,fructan,fucose,galactomannan,glucomannan,glycogen,hostglycan,humanmilkpolysaccharide,pectin,peptidoglycan,polyphenol,rhamnose,sialicacid,starch,sucrose,ulvan,xanthan,xylan,xyloglucan
OA01A,0,2.583,6.729,11.901,0,79.32,0,21.209,14.025,20.562,161.282,16.939,44.248,0,6.317,12.39,0,18.02,0,0,0,6.317,210.614,9.807,109.627,12.39,0,6.913,0,48.069,79.472,0,0,184.33,38.221
OA01B,0,4.998,10.973,16.299,4.887,100.754,0,52.653,14.937,15.565,214.18,7.549,27.11,0,8.14,13.957,0,28.108,0,0,0,11.485,319.23,4.02,118.774,13.957,0,6.53,0,120.187,162.631,0,0,288.174,49.763
OA01C,0,1.994,2.657,10.718,0,92.02,0,16.242,2.683,20.965,74.492,18.37,19.809,0,2.053,2.336,0,22.398,0,0,0,2.053,173.349,8.279,32.736,2.336,0,2.649,0,74.121,134.736,0,0,99.544,17.299
OA04A,0,15.666,6.435,15.252,2.839,35.296,5.16,28.767,3.132,25.457,126.46,0,44.852,0,1.725,2.526,0,10.982,0,5.16,1.725,34.875,241.289,6.941,36.882,2.526,0,6.523,4.003,137.016,165.757,0,0,170.984,28.447
OA04B,2.584,13.177,23.279,49.439,0,100.972,23.086,36.719,13.295,64.081,314.03,2.775,65.8,0,2.647,10.254,0,38.871,0,23.086,1.245,36.231,457.913,4.166,112.28,8.852,0,26.757,2.726,117.178,131.273,0,0,413.605,51.447
OA04C,0,0.528,11.608,14.104,2.147,34.264,0,46.612,15.745,22.01,161.367,0,41.296,0,4.252,7.876,0,13.616,0,0,4.252,14.455,188.333,11.956,110.771,12.627,0,4.947,0,153.94,176.138,0,0,270.722,4.929
OA05A,0,0.995,1.234,22.299,70.502,15.793,1.197,2.61,5.607,4.598,110.105,0,2.33,0,0,12.629,0,63.111,0,1.197,0,15.443,1430.735,0,42.034,6.6,0,80.442,0,64.64,109.487,0,0,231.011,2.431
OA05B,0,0,22.604,29.431,9.649,51.413,0,48.047,5.126,31.17,245.304,6.829,54.613,0,3.822,23.865,0,3.033,0,0,0,27.468,291.324,0,52.931,17.378,0,21.098,0,67.541,139.523,0,0,239.004,22.367
OA05C,0.7,0,11.785,13.868,11.624,40.537,13.156,13.467,3.711,30.974,143.846,1.015,14.496,0,5.348,63.272,0,1.308,0,13.156,0,40.885,249.519,0,46.883,81.875,0,25.911,1.2,117.905,154.766,15.487,0,181.393,27.737
OA06A,0,41.004,40.506,103.553,3.548,107.672,20.431,63.753,15.325,149.641,370.575,20.335,127.671,0,10.2,39.214,0,69.894,2.99,20.431,1.014,20.288,1101.978,7.014,312.149,39.214,0,2.982,4.697,74.159,232.192,0,0,490.517,64.605
